;community;species;abundance;family;code;recolection;incubator;total;viable;viablePER;total_germ;germPER;autumn_germ;winter_germ;spring_germ;summer_germ;t50lm;HS
172;Temperate;Silene ciliata;0.45;Caryophyllaceae;300821-11;30/08/2021;Fellfield;100;98;98;95;96.94;0;0;96.94;0;218.9861111;497.25
173;Temperate;Silene ciliata;0.45;Caryophyllaceae;300821-11;30/08/2021;Snowbed;100;100;100;97;97;0;0;62;7;258.4527778;326.875
174;Mediterranean;Solidago virgaurea;0.02;Asteraceae;240821-08;24/08/2021;Fellfield;98;75;76.53;75;100;97.33;97.33;2.67;0;11.75459957;143.125
175;Mediterranean;Solidago virgaurea;0.02;Asteraceae;240821-08;24/08/2021;Snowbed;96;80;83.33;80;100;13.75;13.75;1.25;0;236.4775264;325.5
176;Mediterranean;Solidago virgaurea;0.02;Asteraceae;250821-13;25/08/2021;Fellfield;100;92;92;92;100;71.74;71.74;28.26;0;18.05297619;205.625
177;Mediterranean;Solidago virgaurea;0.02;Asteraceae;250821-13;25/08/2021;Snowbed;96;54;56.25;54;100;11.11;11.11;16.67;0;234.0690476;285.625
178;Mediterranean;Spergula morisonii;0.02;Caryophyllaceae;150721-01;15/07/2021;Fellfield;100;75;75;61;81.33;76;76;2.67;2.67;47.01964286;740.875
179;Mediterranean;Spergula morisonii;0.02;Caryophyllaceae;150721-01;15/07/2021;Snowbed;99;84;84.85;74;88.1;88.1;88.1;0;0;25.72240497;425
180;Mediterranean;Spergula morisonii;0.02;Caryophyllaceae;280721-01;28/07/2021;Fellfield;68;37;54.41;17;45.95;37.84;37.84;0;8.11;288.6333333;2469
181;Mediterranean;Spergula morisonii;0.02;Caryophyllaceae;280721-01;28/07/2021;Snowbed;68;41;60.29;24;58.54;58.54;58.54;0;0;46.58333333;693.1666667
182;Mediterranean;Thymus praecox;0.81;Lamiaceae;110821-05;11/08/2021;Fellfield;100;65;65;64;98.46;81.54;81.54;13.85;3.08;18.62673611;252.25
183;Mediterranean;Thymus praecox;0.81;Lamiaceae;110821-05;11/08/2021;Snowbed;100;72;72;72;100;44.44;44.44;19.44;31.94;153.84375;394.5
184;Mediterranean;Thymus praecox;0.81;Lamiaceae;120821-06;12/08/2021;Fellfield;100;90;90;89;98.89;98.89;98.89;0;0;9.026442308;129
185;Mediterranean;Thymus praecox;0.81;Lamiaceae;120821-06;12/08/2021;Snowbed;99;94;94.95;94;100;89.36;89.36;1.06;9.57;12.89803922;137.25
186;Temperate;Thymus praecox;2.65;Lamiaceae;130921-10;13/09/2021;Fellfield;100;68;68;67;98.53;19.12;19.12;70.59;8.82;232.7916667;566.5
187;Temperate;Thymus praecox;2.65;Lamiaceae;130921-10;13/09/2021;Snowbed;95;69;72.63;68;98.55;1.45;1.45;5.8;91.3;278.515625;514.875
188;Temperate;Thymus praecox;2.65;Lamiaceae;300821-07;30/08/2021;Fellfield;100;89;89;88;98.88;85.39;85.39;11.24;1.12;10.71517028;122.875
189;Temperate;Thymus praecox;2.65;Lamiaceae;300821-07;30/08/2021;Snowbed;98;76;77.55;75;98.68;0;0;69.74;28.95;271.39375;403.5
