;community;species;abundance;family;code;recolection;incubator;total;viable;viablePER;total_germ;germPER;autumn_germ;winter_germ;spring_germ;summer_germ;t50lm;HS
40;Mediterranean;Dianthus langeanus;3.79;Caryophyllaceae;120821-02;12/08/2021;Snowbed;100;97;97;97;100;94.85;94.85;0;0;7.501190476;93.5
41;Temperate;Erigeron alpinus;0.04;Asteraceae;310821-15;31/08/2021;Fellfield;100;98;98;98;100;0;0;100;0;219.75;463.875
42;Temperate;Erigeron alpinus;0.04;Asteraceae;310821-15;31/08/2021;Snowbed;100;99;99;99;100;0;0;83.84;13.13;261.6426471;325.125
43;Temperate;Euphrasia salisburgensis;0.04;Orobanchaceae;011021-01;01/10/2021;Fellfield;100;100;100;1;1;0;0;1;0;NA;NA
44;Temperate;Euphrasia salisburgensis;0.04;Orobanchaceae;011021-01;01/10/2021;Snowbed;100;100;100;1;1;0;0;0;0;NA;NA
45;Temperate;Euphrasia salisburgensis;0.04;Orobanchaceae;300921-01;30/09/2021;Fellfield;100;96;96;2;2.08;0;0;0;2.08;NA;NA
46;Temperate;Euphrasia salisburgensis;0.04;Orobanchaceae;300921-01;30/09/2021;Snowbed;100;99;99;0;0;0;0;0;0;NA;NA
47;Temperate;Festuca hystrix;0.43;Poaceae;130921-16;13/09/2021;Fellfield;20;17;85;17;100;94.12;94.12;5.88;0;19.52083333;169.5
48;Temperate;Festuca hystrix;0.43;Poaceae;130921-16;13/09/2021;Snowbed;20;19;95;14;73.68;42.11;42.11;0;15.79;217;161
49;Temperate;Festuca hystrix;0.43;Poaceae;300821-01;30/08/2021;Fellfield;14;8;57.14;8;100;100;100;0;0;10.66666667;120
50;Temperate;Festuca hystrix;0.43;Poaceae;300821-01;30/08/2021;Snowbed;14;4;28.57;4;100;100;100;0;0;28.66666667;195
51;Temperate;Festuca rubra;2.12;Poaceae;310821-02;31/08/2021;Fellfield;25;1;4;1;100;0;0;100;0;239.5;648
52;Mediterranean;Festuca summilusitana;20.26;Poaceae;240821-02;24/08/2021;Fellfield;100;59;59;59;100;100;100;0;0;14.32756133;174.75
53;Mediterranean;Festuca summilusitana;20.26;Poaceae;240821-02;24/08/2021;Snowbed;99;59;59.6;59;100;98.31;98.31;0;0;22.23755656;180
54;Mediterranean;Festuca summilusitana;20.26;Poaceae;250821-02;25/08/2021;Fellfield;100;42;42;42;100;100;100;0;0;22.47727273;264.375
55;Mediterranean;Festuca summilusitana;20.26;Poaceae;250821-02;25/08/2021;Snowbed;98;48;48.98;48;100;91.67;91.67;2.08;4.17;24.03084416;184.5
56;Temperate;Gentiana verna;0.1;Gentianaceae;130921-06;13/09/2021;Fellfield;100;56;56;9;16.07;0;0;16.07;0;NA;NA
57;Temperate;Gentiana verna;0.1;Gentianaceae;130921-06;13/09/2021;Snowbed;98;68;69.39;11;16.18;0;0;1.47;1.47;NA;NA
58;Temperate;Gentiana verna;0.1;Gentianaceae;140921-06;14/09/2021;Fellfield;99;75;75.76;1;1.33;0;0;1.33;0;NA;NA
59;Temperate;Gentiana verna;0.1;Gentianaceae;140921-06;14/09/2021;Snowbed;100;78;78;1;1.28;0;0;0;0;NA;NA
60;Temperate;Gentianella campestris;0.01;Gentianaceae;300921-03;30/09/2021;Fellfield;100;97;97;0;0;0;0;0;0;NA;NA
61;Temperate;Gentianella campestris;0.01;Gentianaceae;300921-03;30/09/2021;Snowbed;100;100;100;0;0;0;0;0;0;NA;NA
62;Temperate;Gypsophila repens;0.32;Caryophyllaceae;300821-10;30/08/2021;Fellfield;98;58;59.18;54;93.1;20.69;20.69;63.79;8.62;234.0625;600.125
63;Temperate;Gypsophila repens;0.32;Caryophyllaceae;300821-10;30/08/2021;Snowbed;98;73;74.49;73;100;0;0;0;100;286.5925245;580
64;Temperate;Gypsophila repens;0.32;Caryophyllaceae;310821-08;31/08/2021;Fellfield;100;92;92;91;98.91;14.13;14.13;77.17;7.61;226.4583333;531.875
65;Temperate;Gypsophila repens;0.32;Caryophyllaceae;310821-08;31/08/2021;Snowbed;100;95;95;92;96.84;2.11;2.11;15.79;74.74;277.0348402;466.25
66;Temperate;Helianthemum canum;2.29;Cistaceae;300821-05;30/08/2021;Fellfield;100;87;87;35;40.23;26.44;26.44;10.34;3.45;279;1245
67;Temperate;Helianthemum canum;2.29;Cistaceae;300821-05;30/08/2021;Snowbed;100;77;77;24;31.17;15.58;15.58;6.49;9.09;NA;NA
68;Temperate;Helianthemum canum;2.29;Cistaceae;310821-05;31/08/2021;Fellfield;100;78;78;14;17.95;11.54;11.54;1.28;5.13;NA;NA
69;Temperate;Helianthemum canum;2.29;Cistaceae;310821-05;31/08/2021;Snowbed;100;82;82;10;12.2;4.88;4.88;2.44;1.22;NA;NA
70;Temperate;Helianthemum urrielense;2.48;Cistaceae;130921-05;13/09/2021;Fellfield;100;16;16;6;37.5;31.25;31.25;0;6.25;15;161
71;Temperate;Helianthemum urrielense;2.48;Cistaceae;130921-05;13/09/2021;Snowbed;99;10;10.1;5;50;50;50;0;0;16;105.5
72;Temperate;Helianthemum urrielense;2.48;Cistaceae;140921-04;14/09/2021;Fellfield;98;9;9.18;9;100;100;100;0;0;11.63020833;109.625
73;Temperate;Helianthemum urrielense;2.48;Cistaceae;140921-04;14/09/2021;Snowbed;100;7;7;7;100;100;100;0;0;13.51041667;76.5
74;Mediterranean;Helictochloa marginata;0.41;Poaceae;240821-06;24/08/2021;Fellfield;30;4;13.33;4;100;25;25;75;0;142.75;582.25
75;Mediterranean;Helictochloa marginata;0.41;Poaceae;240821-06;24/08/2021;Snowbed;30;5;16.67;5;100;20;20;0;60;165.6770833;432.5
76;Temperate;Helictotrichon sedenense;1.04;Poaceae;300821-09;30/08/2021;Fellfield;93;14;15.05;14;100;7.14;7.14;92.86;0;229.5625;568.25
77;Temperate;Helictotrichon sedenense;1.04;Poaceae;300821-09;30/08/2021;Snowbed;94;20;21.28;20;100;0;0;0;15;231.58125;277
78;Temperate;Iberis carnosa;0.09;Brassicaceae;130921-12;13/09/2021;Fellfield;100;94;94;86;91.49;76.6;76.6;2.13;12.77;9.562956871;97.75
79;Temperate;Iberis carnosa;0.09;Brassicaceae;130921-12;13/09/2021;Snowbed;100;91;91;90;98.9;16.48;16.48;0;82.42;311.6736111;1005.875
80;Temperate;Jasione cavanillesii;0.04;Campanulaceae;130921-14;13/09/2021;Fellfield;60;35;58.33;20;57.14;0;0;54.29;2.86;226.25;491.5
81;Temperate;Jasione cavanillesii;0.04;Campanulaceae;130921-14;13/09/2021;Snowbed;60;31;51.67;15;48.39;0;0;9.68;38.71;272.2916667;474.25
82;Temperate;Jasione cavanillesii;0.04;Campanulaceae;140921-05;14/09/2021;Fellfield;45;28;62.22;0;0;0;0;0;0;NA;NA
83;Temperate;Jasione cavanillesii;0.04;Campanulaceae;140921-05;14/09/2021;Snowbed;45;16;35.56;1;6.25;0;0;0;6.25;NA;NA
84;Mediterranean;Jurinea humilis;0.41;Asteraceae;110821-06;11/08/2021;Fellfield;65;16;24.62;16;100;75;75;25;0;9.4875;141.5
85;Mediterranean;Jurinea humilis;0.41;Asteraceae;110821-06;11/08/2021;Snowbed;50;10;20;10;100;0;0;0;0;246.5;445.5
86;Mediterranean;Jurinea humilis;0.41;Asteraceae;120821-03;12/08/2021;Fellfield;73;18;24.66;18;100;88.89;88.89;11.11;0;9.933333333;141
87;Mediterranean;Jurinea humilis;0.41;Asteraceae;120821-03;12/08/2021;Snowbed;23;1;4.35;1;100;0;0;0;0;246.5;445.5
88;Temperate;Jurinea humilis;0.27;Asteraceae;310821-01;31/08/2021;Fellfield;50;7;14;7;100;42.86;42.86;57.14;0;119.5833333;376.25
89;Temperate;Jurinea humilis;0.27;Asteraceae;310821-01;31/08/2021;Snowbed;100;30;30;30;100;0;0;0;0;230.5;268.5
90;Temperate;Kobresia myosuroides;0.01;Cyperaceae;130921-03;13/09/2021;Fellfield;100;39;39;0;0;0;0;0;0;NA;NA
91;Temperate;Kobresia myosuroides;0.01;Cyperaceae;130921-03;13/09/2021;Snowbed;100;26;26;0;0;0;0;0;0;NA;NA
92;Temperate;Koeleria vallesiana;1.76;Poaceae;300821-02;30/08/2021;Fellfield;100;80;80;80;100;100;100;0;0;8.222222222;97
93;Temperate;Koeleria vallesiana;1.76;Poaceae;300821-02;30/08/2021;Snowbed;100;49;49;48;97.96;83.67;83.67;0;2.04;28.82094017;196.125
94;Temperate;Koeleria vallesiana;1.76;Poaceae;310821-09;31/08/2021;Fellfield;99;66;66.67;66;100;100;100;0;0;16.04444444;167
95;Temperate;Koeleria vallesiana;1.76;Poaceae;310821-09;31/08/2021;Snowbed;99;69;69.7;69;100;81.16;81.16;0;8.7;31.23541667;175.75
96;Mediterranean;Luzula caespitosa;15.35;Juncaceae;110821-03;11/08/2021;Fellfield;100;31;31;27;87.1;70.97;70.97;9.68;6.45;32.82142857;416
97;Mediterranean;Luzula caespitosa;15.35;Juncaceae;110821-03;11/08/2021;Snowbed;100;25;25;23;92;0;0;0;0;245.5669643;432.5
98;Mediterranean;Luzula caespitosa;15.35;Juncaceae;120821-04;12/08/2021;Fellfield;100;32;32;30;93.75;37.5;37.5;43.75;6.25;171.8819444;613.125
99;Mediterranean;Luzula caespitosa;15.35;Juncaceae;120821-04;12/08/2021;Snowbed;100;47;47;47;100;0;0;0;2.13;245.53125;432.5
100;Temperate;Minuartia CF;NA;Caryophyllaceae;310821-10;31/08/2021;Fellfield;100;99;99;44;44.44;25.25;25.25;14.14;5.05;227;534
101;Temperate;Minuartia CF;NA;Caryophyllaceae;310821-10;31/08/2021;Snowbed;100;100;100;14;14;0;0;5;8;NA;NA
102;Mediterranean;Minuartia recurva;0.37;Caryophyllaceae;110821-07;11/08/2021;Fellfield;100;92;92;92;100;100;100;0;0;8.397321429;125
103;Mediterranean;Minuartia recurva;0.37;Caryophyllaceae;110821-07;11/08/2021;Snowbed;100;88;88;88;100;71.59;71.59;27.27;0;23.53139569;256.25
104;Mediterranean;Minuartia recurva;0.37;Caryophyllaceae;120821-01;12/08/2021;Fellfield;100;97;97;97;100;98.97;98.97;1.03;0;3.644736842;50
105;Mediterranean;Minuartia recurva;0.37;Caryophyllaceae;120821-01;12/08/2021;Snowbed;100;94;94;94;100;88.3;88.3;8.51;0;4.566964286;63.25
106;Temperate;Minuartia verna;0.26;Caryophyllaceae;300821-06;30/08/2021;Fellfield;100;94;94;40;42.55;41.49;41.49;0;1.06;NA;NA
107;Temperate;Minuartia verna;0.26;Caryophyllaceae;300821-06;30/08/2021;Snowbed;100;95;95;12;12.63;8.42;8.42;1.05;3.16;NA;NA
