Site;week;T;X;N;Snow;FDD;GDD;order
Los Boches;13;-0.043464629;-0.035928438;-0.050767136;1;-0.066519768;0;36
Los Boches;14;-0.034051637;-0.027748052;-0.040916251;1;-0.056164593;0;37
Los Boches;15;-0.032770934;-0.026181389;-0.039239276;1;-0.053983325;0;38
Los Boches;16;-0.035540604;-0.029251608;-0.042281773;1;-0.053986806;0;39
Los Boches;17;-0.039112539;-0.032616882;-0.045982002;1;-0.053821485;0;40
Los Boches;18;-0.041334086;-0.034947569;-0.048143631;1;-0.054927126;0;41
Los Boches;19;-0.040816791;-0.008262245;-0.055984558;0.985714286;-0.059164596;0;42
Los Boches;20;0.649180322;1.092377569;0.319460794;0.885714286;-0.056293423;0.695064856;43
Los Boches;21;1.951049268;2.697194332;1.241069273;0.8;-0.050683876;1.993741117;44
Los Boches;22;2.78298244;4.163498069;1.660018199;0.628571429;-0.04266406;2.811873819;45
Los Boches;23;4.502793863;6.295240154;2.975704756;0.471428571;-0.027973072;4.512033853;46
Los Boches;24;5.539732898;7.625059271;3.809876053;0.314285714;-0.017101314;5.506628546;47
Los Boches;25;9.504321242;13.19091679;6.379399089;0.214285714;-0.016409292;9.520069114;48
Los Boches;26;11.06863727;14.5800002;7.918284407;0.114285714;-0.011078593;11.07971586;49
Los Boches;27;12.38685333;15.85289671;9.369961321;0.042857143;-0.004872692;12.3901642;50
Los Boches;28;13.86750701;18.324973;10.04780786;0;0;13.86750701;51
Los Boches;29;14.71914907;18.44709643;11.43019014;0;0;14.71914907;52
Los Boches;30;15.23976557;19.18249857;11.727479;0;0;15.23976557;53
Los Boches;31;14.98369911;18.79295857;11.66471329;0;0;14.98369911;1
Los Boches;32;14.20415054;18.01863143;10.96147586;0;0;14.20415054;2
Los Boches;33;14.84260877;18.54449286;11.66902386;0;0;14.84260877;3
Los Boches;34;15.03134089;18.41552429;12.13949214;0;0;15.03134089;4
Los Boches;35;13.32552859;16.69644143;10.492315;0;0;13.32552859;5
Los Boches;36;12.34167653;15.56970029;9.724035;0;0;12.34167653;6
Los Boches;37;10.6350389;13.71850329;8.084698571;0;0;10.6350389;7
Los Boches;38;8.556973399;11.23619486;6.375153;0;0;8.556973399;8
Los Boches;39;8.215470042;10.97244743;6.043319857;0;0;8.215470042;9
Los Boches;40;7.280968613;9.948345714;5.227204;0;0;7.280968613;10
Los Boches;41;5.913859227;7.971101571;4.266967471;0;0;5.913859227;11
Los Boches;42;4.294850861;5.8822068;2.976509243;0.042857143;0;4.254657143;12
Los Boches;43;3.899167833;5.529664557;2.748665229;0.014285714;0;3.839549439;13
Los Boches;44;2.711379401;3.617090929;1.950735097;0.085714286;0;2.53381251;14
Los Boches;45;1.368602529;1.763199857;1.054028181;0.242857143;0;1.050067358;15
Los Boches;46;0.622582624;0.846874221;0.471684983;0.514285714;-0.011057923;0.298029736;16
Los Boches;47;0.427500657;0.642450487;0.246973843;0.757142857;-0.056745903;0.325290098;17
Los Boches;48;0.119072186;0.200259538;0.054088235;0.842857143;-0.092744641;0.067604952;18
Los Boches;49;0.007566107;0.0330226;-0.016081222;0.957142857;-0.060085578;0;19
Los Boches;50;-0.08697328;-0.054499289;-0.124165045;0.914285714;-0.120561727;0;20
Los Boches;51;-0.071078817;-0.047911757;-0.098483903;0.928571429;-0.103097745;0;21
Los Boches;52;-0.222537681;-0.153970064;-0.297374172;0.814285714;-0.25565028;0;22
Los Boches;53;-0.086675518;-0.062731971;-0.133260957;0.928571429;-0.086675518;0;23
Villabandín;1;-0.232999764;0.088885705;-0.441865711;0.571428571;-0.402468573;0.077389642;24
Villabandín;2;-1.050584643;-0.129597155;-1.694314273;0.228571429;-1.174179642;0.073029404;25
Villabandín;3;-1.14587357;-0.205925719;-1.82611428;0.2;-1.159388332;0;26
Villabandín;4;-1.140530478;0.043965699;-1.959968571;0.371428571;-1.187800715;0.031732857;27
Villabandín;5;-0.132881668;1.177531404;-0.846577139;0.428571429;-0.487733096;0.28461357;28
Villabandín;6;0.127148569;1.260385713;-0.471497148;0.542857143;-0.294879645;0.395606429;29
Villabandín;7;-0.156148931;0.626002847;-0.586760007;0.542857143;-0.34058786;0.180202619;30
Villabandín;8;0.288720115;2.009054297;-0.515774292;0.4;-0.242667025;0.525142974;31
Villabandín;9;0.143169285;0.832845723;-0.190274287;0.714285714;-0.151159287;0.251069168;32
Villabandín;10;-0.324787859;-0.228397143;-0.479711431;0.714285714;-0.324787859;0;33
Villabandín;11;-0.205352501;0.010537144;-0.356962859;0.771428571;-0.237662501;0;34
Villabandín;12;0.179130121;0.758065726;-0.134911427;0.828571429;-0.161823213;0.32877024;35
Villabandín;13;0.092247975;0.689751425;-0.235545716;0.657142857;-0.210299643;0.232665595;36
Villabandín;14;0.634143811;2.61026857;-0.363251428;0.285714286;-0.158663809;0.70291762;37
Villabandín;15;3.356439056;8.061334266;0.437182862;0.285714286;-0.023331309;3.333271198;38
Villabandín;16;2.619415712;5.279525683;1.170254291;0;0;2.432264163;39
Villabandín;17;4.4870813;8.915459942;1.528591431;0.028571429;0;4.431364276;40
Villabandín;18;8.460295249;15.75916576;3.083997167;0;0;8.460295249;41
Villabandín;19;9.344751797;15.12582562;5.338065693;0;0;9.344751797;42
Villabandín;20;10.53210261;16.66562571;6.177297098;0;0;10.53210261;43
Villabandín;21;11.26603288;18.86360008;6.165608583;0;0;11.26603288;44
Villabandín;22;10.82170594;16.20931151;6.995891435;0;0;10.82170594;45
Villabandín;23;14.77036202;21.92794576;9.480268533;0;0;14.77036202;46
