species;macroclimate;seeds_germ;viable;viablePER;germPER;autumn_germ;spring_germ;summer_germ;winter_germ;t50;heat_sum;mass_50;family;habitat;germ_strategy
Phyteuma orbiculare;Temperate;17;63;63.27333333;27.435;0;0.19047619;0.003023432;0.079365079;NA;NA;NA;Campanulaceae;Not_specialist;Late_season
Plantago alpina;Temperate;285;286;88.85714286;99.64285714;0.15034965;0.825174825;0.002885227;0.332167832;204.1538919;292.5714286;19.3;Plantaginaceae;Specialist;Biphasic
Plantago holosteum;Mediterranean;586;595;99.16666667;98.47;0.833613445;0.142857143;0.000240096;0.084033613;25.6755409;77.3125;44.045;Plantaginaceae;Not_specialist;Autumn
Ranunculus carianthiacus;Temperate;4;30;100;13.335;0;0;0;0;NA;NA;NA;Ranunculaceae;Specialist;Sporadic_low
Salix fontqueri;Temperate;0;10;100;0;0;0;0;0;NA;NA;4.14;Salicaceae;Specialist;Sporadic_low
Saxifraga conifera;Temperate;154;189;59.61857143;79.87857143;0.386243386;0.005291005;2.80E-05;0;169.2562894;715.5416667;2.275;Saxifragaceae;Specialist;Biphasic
Saxifraga paniculata;Temperate;147;186;93;77.14375;0;0.521505376;0.002803792;0;248.3756969;524.0714286;3.464166667;Saxifragaceae;Not_specialist;Late_season
Scilla verna;Temperate;38;194;97;19.63625;0;0;0;0;NA;NA;61.25;Asparagaceae;Not_specialist;Late_season
Sedum album;Temperate;0;191;95.5;0;0;0;0;0;NA;NA;1.42;Crassulaceae;Not_specialist;Sporadic_low
Sedum anglicum;Mediterranean;265;433;86.6;60.995;0.422632794;0.071593533;0.000165343;0.034642032;110.8542659;524.0357143;1.107;Crassulaceae;Specialist;Biphasic
Sedum brevifolium;Mediterranean;180;441;89.3495;39.8895;0.310657596;0.040816327;9.26E-05;0;79.97046703;300.9375;0.639;Crassulaceae;Not_specialist;Biphasic
Sempervivum arachnoideo;Mediterranean;311;351;87.979375;88.505;0;0.481481481;0.001371742;0;234.6828723;352.9;2.615;Crassulaceae;Not_specialist;Late_season
Sesleria caerula;Temperate;172;174;70.389;98.75;0.545977011;0.149425287;0.000858766;0.063218391;133.4718269;293.45;NA;Poaceae;Not_specialist;Biphasic
Silene acaulis;Temperate;133;322;80.635625;40.958125;0.046583851;0.040372671;0.000125381;0.01242236;299.9375;1367.5;15;Caryophyllaceae;Specialist;Late_season
Silene ciliata;Mediterranean;349;377;94.25;92.51375;0.00795756;0.846153846;0.00224444;0.045092838;219.8236622;229;18.7;Caryophyllaceae;Specialist;Early_season
Silene ciliata;Temperate;332;370;92.5;89.648125;0.056756757;0.683783784;0.001848064;0.108108108;233.3315972;355;17.9;Caryophyllaceae;Specialist;Early_season
Solidago virgaurea;Mediterranean;438;445;76.58666667;98.465;0.350561798;0.624719101;0.001403863;0.316853933;148.2563103;198.0208333;33.455;Asteraceae;Not_specialist;Biphasic
Spergula morisonii;Mediterranean;210;327;73.1;63.354;0.574923547;0.051987768;0.000158984;0.04587156;87.35978914;952.2;9.736;Caryophyllaceae;Not_specialist;Autumn
Thymus praecox;Mediterranean;443;447;74.66666667;99.10125;0.577181208;0.181208054;0.000405387;0.006711409;104.9217307;223.625;8.528;Lamiaceae;Not_specialist;Biphasic
Thymus praecox;Temperate;373;381;77.3585;97.916;0.236220472;0.322834646;0.000847335;0.002624672;201.7759507;360.15;5.84;Lamiaceae;Not_specialist;Biphasic
