Site,month,week,order,T,X,N
Snowbed site,August,33,3,14.88123771,19.03178335,11.47797823
Snowbed site,August,34,4,14.83062654,18.62956789,11.70465892
Snowbed site,August,35,5,13.1622648,16.81947852,10.18243035
Snowbed site,September,36,6,11.98445361,15.43640498,9.265031549
Snowbed site,September,37,7,10.49505499,13.90590275,7.772847621
Snowbed site,September,38,8,8.599643363,11.26325536,6.434191596
Snowbed site,September,39,9,7.999591048,10.73985703,5.844145563
Snowbed site,October,40,10,7.00773467,9.727892198,4.980345194
Snowbed site,October,41,11,5.862336148,8.046561162,4.173456139
Snowbed site,October,42,12,4.095318477,5.632802281,2.829960348
Snowbed site,October,43,13,3.710226765,5.322158685,2.587376183
Snowbed site,October,44,14,2.705544045,3.768970981,1.878783854
Snowbed site,November,45,15,1.484507006,1.96690636,1.124074968
Snowbed site,November,46,16,0.719331389,1.047414228,0.500982452
Snowbed site,November,47,17,0.44176905,0.703293952,0.238567129
Snowbed site,November,48,18,0.083504416,0.172908044,-0.001372573
Snowbed site,December,49,19,-0.091340695,-0.004754976,-0.176899828
Snowbed site,December,50,20,-0.08417813,-0.054432741,-0.117770871
Snowbed site,December,51,21,-0.064985819,-0.044332416,-0.089416348
Snowbed site,December,52,22,-0.194142214,-0.136459577,-0.257165381
Snowbed site,December,53,23,-0.143202527,-0.124297505,-0.176402541
