species;community;incubator;seeds_germ;viable;viablePER;germPER;autumn_germ;spring_germ;summer_germ;winter_germ;t50;heat_sum;mass_50;family;habitat;germ_strategy
Gypsophila repens;Temperate;Fellfield;145;150;75.7825;96.67875;0.166666667;0.72;0.0048;0;230.2604167;570.25;24.5;Caryophyllaceae;Not_specialist;Early_season
Gypsophila repens;Temperate;Snowbed;165;168;84.87;98.47875;0.011904762;0.035714286;0.000212585;0.023809524;281.8136823;519.625;24.5;Caryophyllaceae;Not_specialist;Early_season
Helianthemum canum;Temperate;Fellfield;49;165;82.5;29.43125;0.193939394;0.060606061;0.000367309;0;279;1244;28.5;Cistaceae;Not_specialist;Biphasic
Helianthemum canum;Temperate;Snowbed;34;159;79.5;21.81125;0.100628931;0.044025157;0.000276888;0.018867925;NA;NA;28.5;Cistaceae;Not_specialist;Biphasic
Helianthemum urrielense;Temperate;Fellfield;44;61;20.3625;72.72083333;0.278688525;0.344262295;0.005643644;0.114754098;51.57592593;133.1666667;33.8;Cistaceae;Not_specialist;Autumn
Helianthemum urrielense;Temperate;Snowbed;43;52;18.97;79.90454545;0.230769231;0.461538462;0.00887574;0.442307692;56.6435419;76.33333333;33.8;Cistaceae;Not_specialist;Autumn
Helictochloa marginata;Mediterranean;Fellfield;4;4;13.33;100;0.25;0.75;0.1875;0;142.75;587.5;138.1;Poaceae;Not_specialist;Biphasic
Helictochloa marginata;Mediterranean;Snowbed;5;5;16.67;100;0.2;0.2;0.04;0.2;165.6770833;435.25;138.1;Poaceae;Not_specialist;Biphasic
Helictotrichon sedenense;Temperate;Fellfield;14;14;15.045;100;0.071428571;0.928571429;0.066326531;0;229.5625;572.875;NA;Poaceae;Specialist;Early_season
Helictotrichon sedenense;Temperate;Snowbed;20;20;21.3075;100;0;0.85;0.0425;0.85;231.58125;285.5;NA;Poaceae;Specialist;Early_season
Iberis carnosa;Temperate;Fellfield;106;119;95.2;89.534;0.605042017;0.025210084;0.000211849;0.008403361;60.8003655;306.6;NA;Brassicaceae;Not_specialist;Biphasic
Iberis carnosa;Temperate;Snowbed;90;91;91;98.9575;0.164835165;0;0;0;311.6736111;998.25;NA;Brassicaceae;Not_specialist;Biphasic
Jasione cavanillesii;Temperate;Fellfield;20;63;60.27666667;27.18166667;0;0.301587302;0.0047871;0;226.25;492.75;5.603;Campanulaceae;Specialist;Late_season
Jasione cavanillesii;Temperate;Snowbed;16;47;43.61166667;28.83333333;0;0.021276596;0.000452694;0;272.2916667;467.75;5.603;Campanulaceae;Specialist;Late_season
