id;species;seeds_germ;viable;viablePER;germPER;autumn_germ;spring_germ;summer_germ;winter_germ;cold_germ;warm_germ;t50;heat_sum;delayS_F;family;macroclimate;habitat;germ_strategy
40;Plantago holosteum;586;595;99.17;98.47;0.83;0.14;0;0.08;0.06;0.01;25.68;77.31;50.43;Plantaginaceae;Mediterranean;Not_specialist;Autumn
41;Ranunculus carianthiacus;4;30;100;13.34;0;0;0;0;0;0.13;NA;NA;NA;Ranunculaceae;Temperate;Specialist;Sporadic_low
42;Salix fontqueri;0;10;100;0;0;0;0;0;0;0;NA;NA;NA;Salicaceae;Temperate;Specialist;Sporadic_low
43;Saxifraga conifera;154;189;59.62;79.88;0.39;0.01;0;0;0;0.43;169.26;715.54;265.18;Saxifragaceae;Temperate;Specialist;Biphasic
44;Saxifraga paniculata;147;186;93;77.14;0;0.52;0;0;0.52;0.27;248.38;524.07;61.5;Saxifragaceae;Temperate;Not_specialist;Late_season
45;Scilla verna;38;194;97;19.64;0;0;0;0;0;0.2;NA;NA;NA;Asparagaceae;Temperate;Not_specialist;Late_season
46;Sedum album;0;191;95.5;0;0;0;0;0;0;0;NA;NA;NA;Crassulaceae;Temperate;Not_specialist;Sporadic_low
47;Sedum anglicum;265;433;86.6;61;0.42;0.07;0;0.03;0.03;0.12;110.85;524.04;74.45;Crassulaceae;Mediterranean;Specialist;Biphasic
48;Sedum brevifolium;180;441;89.35;39.89;0.31;0.04;0;0;0.04;0.06;79.97;300.94;9.84;Crassulaceae;Mediterranean;Not_specialist;Biphasic
49;Sempervivum arachnoideo;311;351;87.98;88.51;0;0.48;0;0;0.46;0.42;234.68;352.9;47.04;Crassulaceae;Mediterranean;Not_specialist;Late_season
50;Sesleria caerula;172;174;70.39;98.75;0.55;0.15;0;0.06;0.08;0.3;133.47;293.45;108.34;Poaceae;Temperate;Not_specialist;Biphasic
51;Silene acaulis;133;322;80.64;40.96;0.05;0.04;0;0.01;0.02;0.34;299.94;1367.5;15.91;Caryophyllaceae;Temperate;Specialist;Late_season
52;Silene ciliata;681;747;93.38;91.08;0.03;0.77;0;0.08;0.69;0.12;226.58;292;43.4;Caryophyllaceae;Both;Specialist;Early_season
53;Solidago virgaurea;438;445;76.59;98.47;0.35;0.62;0;0.32;0.31;0.01;148.26;198.02;130.66;Asteraceae;Mediterranean;Not_specialist;Biphasic
54;Spergula morisonii;210;327;73.1;63.35;0.57;0.05;0;0.05;0.01;0.02;87.36;952.2;-131.67;Caryophyllaceae;Mediterranean;Not_specialist;Autumn
55;Thymus praecox;816;828;75.89;98.56;0.42;0.25;0;0;0.22;0.34;148.95;285.68;83.88;Lamiaceae;Both;Not_specialist;Biphasic
