species;accession;code;incubator;petridish;mgr;syn
Armeria cantabrica;130921-15;130921-15;Snowbed;2;0.003332164;0.0994152
Armeria cantabrica;130921-15;130921-15;Snowbed;3;0.003449763;0.11666667
Armeria cantabrica;130921-15;130921-15;Snowbed;4;0.003700479;0.29411765
Armeria cantabrica;140921-07;140921-07;Fellfield;1;0.004110997;0.16666667
Armeria cantabrica;140921-07;140921-07;Snowbed;1;0.003496503;0
Armeria duriaei;240821-01;240821-01;Fellfield;1;0.052884615;0.7445887
Armeria duriaei;240821-01;240821-01;Fellfield;2;0.061797753;0.8268398
Armeria duriaei;240821-01;240821-01;Fellfield;3;0.066666667;0.9166667
Armeria duriaei;240821-01;240821-01;Fellfield;4;0.071428571;1
Armeria duriaei;240821-01;240821-01;Snowbed;1;0.012507817;0.4
Armeria duriaei;240821-01;240821-01;Snowbed;2;0.018121911;0.4069264
Armeria duriaei;240821-01;240821-01;Snowbed;3;0.066473988;0.9130435
Armeria duriaei;240821-01;240821-01;Snowbed;4;0.06626506;0.9090909
Armeria duriaei;240821-01;240821-01b;Fellfield;5;0.004914005;0.1861472
Armeria duriaei;240821-01;240821-01b;Fellfield;6;0.007027818;0.442029
Armeria duriaei;240821-01;240821-01b;Snowbed;5;0.002824496;0.1601732
Armeria duriaei;240821-01;240821-01b;Snowbed;6;0.002855015;0.2055336
Armeria duriaei;250821-01;250821-01;Fellfield;1;0.0430839;0.6491228
Armeria duriaei;250821-01;250821-01;Fellfield;2;0.05;0.9
Armeria duriaei;250821-01;250821-01;Fellfield;3;0.028050491;0.8052632
Armeria duriaei;250821-01;250821-01;Fellfield;4;0.04283054;0.6442688
Armeria duriaei;250821-01;250821-01;Snowbed;1;0.011821975;0.4338235
Armeria duriaei;250821-01;250821-01;Snowbed;2;0.025157233;0.6473684
Armeria duriaei;250821-01;250821-01;Snowbed;3;0.031207598;0.5256917
Armeria duriaei;250821-01;250821-01;Snowbed;4;0.030383091;0.5573123
Armeria duriaei;250821-01;250821-01b;Fellfield;5;0.00401322;0.2279412
Armeria duriaei;250821-01;250821-01b;Fellfield;6;0.004598662;0.2640693
Armeria duriaei;250821-01;250821-01b;Snowbed;5;0.00287687;0.2
Armeria duriaei;250821-01;250821-01b;Snowbed;6;0.002769776;0.27
Carex sempervirens;130921-02;130921-02;Fellfield;1;0.003903963;0.2894737
Carex sempervirens;130921-02;130921-02;Fellfield;2;0.004014452;0.3842105
Carex sempervirens;130921-02;130921-02;Fellfield;3;0.003988954;0.5384615
Carex sempervirens;130921-02;130921-02;Fellfield;4;0.003984064;0.3636364
Carex sempervirens;130921-02;130921-02;Snowbed;1;0.003453947;0.5190476
Carex sempervirens;130921-02;130921-02;Snowbed;2;0.003447087;0.3894737
Carex sempervirens;130921-02;130921-02;Snowbed;3;0.003425831;0.5842105
Carex sempervirens;130921-02;130921-02;Snowbed;4;0.003438575;0.4363636
Carex sempervirens;310821-13;310821-13;Fellfield;1;0.003924775;0.1630435
Carex sempervirens;310821-13;310821-13;Fellfield;2;0.003990568;0.2251082
Carex sempervirens;310821-13;310821-13;Fellfield;3;0.00395132;0.23
Carex sempervirens;310821-13;310821-13;Fellfield;4;0.004020313;0.3099415
Carex sempervirens;310821-13;310821-13;Snowbed;1;0.003501294;0.8339921
Carex sempervirens;310821-13;310821-13;Snowbed;2;0.003411029;0.3137255
Carex sempervirens;310821-13;310821-13;Snowbed;3;0.00349162;0.7733333
Carex sempervirens;310821-13;310821-13;Snowbed;4;0.003500175;0.9
Cerastium ramosissimum;150721-05;150721-05;Fellfield;1;0.014285714;1
Cerastium ramosissimum;150721-05;150721-05;Fellfield;2;0.014285714;1
Cerastium ramosissimum;150721-05;150721-05;Fellfield;3;0.014285714;1
Cerastium ramosissimum;150721-05;150721-05;Fellfield;4;0.014285714;1
Cerastium ramosissimum;150721-05;150721-05;Snowbed;1;0.014285714;1
Cerastium ramosissimum;150721-05;150721-05;Snowbed;2;0.019011407;0.4
