species;accession;code;incubator;petridish;total;viable;date;germinated
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;5;25;24;26/07/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;5;25;24;01/08/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;5;25;24;08/08/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;5;25;24;15/08/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;5;25;24;22/08/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;5;25;24;29/08/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;5;25;24;07/09/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;5;25;24;13/09/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;5;25;24;19/09/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;27/10/2021;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;10/11/2021;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;12/04/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;19/04/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;26/04/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;03/05/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;10/05/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;17/05/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;24/05/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;31/05/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;07/06/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;07/06/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;14/06/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;22/06/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;28/06/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;05/07/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;12/07/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;19/07/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;26/07/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;01/08/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;08/08/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;15/08/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;22/08/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;29/08/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;07/09/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;13/09/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;25;22;19/09/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;24;12;27/10/2021;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;25;12;10/11/2021;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;25;12;12/05/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;25;12;19/05/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;25;12;26/05/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;25;12;02/06/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;25;12;09/06/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;25;12;16/06/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;25;12;23/06/2022;0
