community;species;family;population;recolection;incubator;abundance;total_seeds;viable_seeds;viablePER;total_seeds_germinated;final_germ;autumn_germ ;spring_germ;summer_germ;winter_germ;t50;Env_heat_sum;MGT;Syn
Mediterranean;Sedum anglicum;Crassulaceae;240821-09;24/08/2021;Snowbed;0.08;150;139;92;76;49.11;29.785;2.22;17.105;0;NA;NA;0.013925;0.273
Mediterranean;Sedum anglicum;Crassulaceae;250821-09;25/08/2021;Fellfield;0.08;100;76;76;48;63.16;38.16;15.79;9.21;3.95;148.6805556;371.8333333;0.00949;0.125
Mediterranean;Sedum anglicum;Crassulaceae;250821-09;25/08/2021;Snowbed;0.08;100;90;90;40;44.44;27.78;1.11;15.56;0;282.5;678.5;0.00858;0.197
Mediterranean;Sedum brevifolium;Crassulaceae;240821-11;24/08/2021;Fellfield;1.8;150;115;70.5;69;40.125;35.955;3.61;0.56;0;NA;NA;0.01525;0.392
Mediterranean;Sedum brevifolium;Crassulaceae;240821-11;24/08/2021;Snowbed;1.8;145;140;97.37;67;38.11;32.22;1;4.89;0;NA;NA;0.012217999;0.374
Mediterranean;Sedum brevifolium;Crassulaceae;250821-08;25/08/2021;Fellfield;1.8;99;93;93.94;24;25.81;11.83;13.98;0;0;NA;NA;0.00831;0.171
Mediterranean;Sedum brevifolium;Crassulaceae;250821-08;25/08/2021;Snowbed;1.8;100;93;93;20;21.51;4.3;0;17.2;0;NA;NA;0.00403;0.35
Mediterranean;Sempervivum arachnoideo;Crassulaceae;230921-02;23/09/2021;Fellfield;0.27;99;86;86.87;82;95.35;0;93.02;2.33;0;214.0733974;370;0.00456;0.405
Mediterranean;Sempervivum arachnoideo;Crassulaceae;230921-02;23/09/2021;Snowbed;0.27;100;85;85;76;89.41;0;0;89.41;0;259.4943182;347;0.00381;0.384
Mediterranean;Sempervivum arachnoideo;Crassulaceae;230921-04;23/09/2021;Fellfield;0.27;100;93;93;90;96.77;0;95.7;1.08;0;211.4305556;348.5;0.00466;0.26
Mediterranean;Sempervivum arachnoideo;Crassulaceae;230921-04;23/09/2021;Snowbed;0.27;100;87;87;63;72.41;0;0;72.41;0;260.0833333;355;0.00382;0.372
Temperate;Sesleria caerula;Poaceae;310821-03;31/08/2021;Fellfield;NA;123;90;70.11;90;100;46.665;39.33;14;0;114.1225962;280.125;0.014085;0.353
Temperate;Sesleria caerula;Poaceae;310821-03;31/08/2021;Snowbed;NA;124;84;64.85;82;98.55;18.115;7.97;72.465;7.97;222.4671875;316.8125;0.00443;0.2655
Temperate;Silene acaulis;Caryophyllaceae;130921-07;13/09/2021;Fellfield;1.45;100;85;85;52;61.18;10.59;7.06;43.53;0;303.9166667;1601.5;0.00534;0.208
Temperate;Silene acaulis;Caryophyllaceae;130921-07;13/09/2021;Snowbed;1.45;100;89;89;29;32.58;3.37;4.49;24.72;4.49;NA;NA;0.0041;0.122
Temperate;Silene acaulis;Caryophyllaceae;140921-03;14/09/2021;Fellfield;1.45;99;65;65.66;23;35.38;1.54;4.62;29.23;0;NA;NA;0.00371;0.281
Temperate;Silene acaulis;Caryophyllaceae;140921-03;14/09/2021;Snowbed;1.45;100;83;83;29;34.94;2.41;0;32.53;0;288;692.5;0.00396;0.311
Mediterranean;Silene ciliata;Caryophyllaceae;230921-01;23/09/2021;Fellfield;0.47;100;93;93;84;90.32;2.15;86.02;2.15;0;196.5291667;257.875;0.00456;0.318
Mediterranean;Silene ciliata;Caryophyllaceae;230921-01;23/09/2021;Snowbed;0.47;100;87;87;82;94.25;0;75.86;18.39;9.2;242.6020833;192.75;0.00377;0.4
Mediterranean;Silene ciliata;Caryophyllaceae;230921-03;23/09/2021;Fellfield;0.47;100;98;98;88;89.8;0;87.76;2.04;0;201.2291667;278.875;0.00442;0.18
Mediterranean;Silene ciliata;Caryophyllaceae;230921-03;23/09/2021;Snowbed;0.47;100;99;99;95;95.96;1.01;87.88;7.07;9.09;238.934232;176;0.00384;0.394
Temperate;Silene ciliata;Caryophyllaceae;140921-09;14/09/2021;Fellfield;0.45;100;90;90;79;87.78;20;67.78;0;0;202.75625;311.375;0.00557;0.155
Temperate;Silene ciliata;Caryophyllaceae;140921-09;14/09/2021;Snowbed;0.45;100;82;82;61;74.39;3.66;36.59;34.15;14.63;253.13125;267;0.00396;0.204
Temperate;Silene ciliata;Caryophyllaceae;300821-11;30/08/2021;Fellfield;0.45;100;98;98;95;96.94;0;96.94;0;0;218.9861111;497.25;0.00446;0.235
Temperate;Silene ciliata;Caryophyllaceae;300821-11;30/08/2021;Snowbed;0.45;100;100;100;97;97;0;67;30;28;258.4527778;326.875;0.0038;0.209
Mediterranean;Solidago virgaurea;Asteraceae;240821-08;24/08/2021;Fellfield;0.02;146;105;69.515;105;100;48.665;51.335;0;1.665;93.14434524;135.5625;0.024095;0.463
Mediterranean;Solidago virgaurea;Asteraceae;240821-08;24/08/2021;Snowbed;0.02;141;119;85;119;100;6.875;92.5;0.625;75.835;222.8012632;200;0.004405;0.385
Mediterranean;Solidago virgaurea;Asteraceae;250821-13;25/08/2021;Fellfield;0.02;147;129;85.36;129;100;35.87;64.13;0;0;95.88065475;156.6875;0.00923;0.3325
Mediterranean;Solidago virgaurea;Asteraceae;250821-13;25/08/2021;Snowbed;0.02;146;92;66.125;85;90.79;5.555;81.285;3.945;45.32;227.5345238;187.4375;0.00414;0.276
Mediterranean;Spergula morisonii;Caryophyllaceae;150721-01;15/07/2021;Fellfield;0.02;149;119;82.4;89;72.485;58.455;12.7;1.335;11.365;30.39914435;411.9375;0.01124;0.7005
Mediterranean;Spergula morisonii;Caryophyllaceae;150721-01;15/07/2021;Snowbed;0.02;149;130;88.425;80;50.57;45.135;5.435;0;5.435;NA;NA;0.013615;0.819
Mediterranean;Spergula morisonii;Caryophyllaceae;280721-01;28/07/2021;Fellfield;0.02;68;37;54.41;17;45.95;37.84;0;8.11;0;288.6333333;2473.166667;0.00872;0.525
Mediterranean;Spergula morisonii;Caryophyllaceae;280721-01;28/07/2021;Snowbed;0.02;68;41;60.29;24;58.54;58.54;0;0;0;46.58333333;693.1666667;0.0193;0.6
Mediterranean;Thymus praecox;Lamiaceae;110821-05;11/08/2021;Fellfield;0.81;150;96;63.5;95;99.23;40.77;52.93;5.535;0;105.3342014;225.875;0.01001;0.3175
Mediterranean;Thymus praecox;Lamiaceae;110821-05;11/08/2021;Snowbed;0.81;150;104;68;102;96.875;22.22;9.895;64.755;2.085;197.0572917;299.625;0.004715;0.3195
Mediterranean;Thymus praecox;Lamiaceae;120821-06;12/08/2021;Fellfield;0.81;150;117;72;116;99.445;49.445;48.15;1.85;0;102.6069712;181.25;0.02584;0.3825
Mediterranean;Thymus praecox;Lamiaceae;120821-06;12/08/2021;Snowbed;0.81;149;130;83.475;130;100;44.68;6.085;49.23;0;127.3344363;166.375;0.013375;0.48
Temperate;Thymus praecox;Lamiaceae;130921-10;13/09/2021;Fellfield;2.65;100;68;68;67;98.53;19.12;69.12;10.29;0;232.7916667;566.5;0.00458;0.196
Temperate;Thymus praecox;Lamiaceae;130921-10;13/09/2021;Snowbed;2.65;95;69;72.63;68;98.55;1.45;4.35;92.75;0;278.515625;514.875;0.0033;0.208
Temperate;Thymus praecox;Lamiaceae;300821-07;30/08/2021;Fellfield;2.65;150;124;79.5;121;96.585;42.695;47.61;6.275;0.56;101.1232101;159.6875;0.01004;0.406
Temperate;Thymus praecox;Lamiaceae;300821-07;30/08/2021;Snowbed;2.65;148;120;82.775;117;97.065;0;26.015;71.055;0;255.3947917;301.5;0.003675;0.3335
