community;species;family;population;recolection;incubator;abundance;total_seeds;viable_seeds;viablePER;total_seeds_germinated;final_germ;autumn_germ ;spring_germ;summer_germ;winter_germ;t50;Env_heat_sum;MGT;Syn
Mediterranean;Dianthus langeanus;Caryophyllaceae;110821-01;11/08/2021;Fellfield;3.79;150;149;99.5;149;100;94.495;5.505;0;1;7.49007667;65.5;0.1111;0.7895
Mediterranean;Dianthus langeanus;Caryophyllaceae;110821-01;11/08/2021;Snowbed;3.79;150;144;96.5;144;100;51.02;48.98;0;30.61;88.70985577;60;0.08545;0.631
Mediterranean;Dianthus langeanus;Caryophyllaceae;120821-02;12/08/2021;Fellfield;3.79;149;147;98.48;147;100;86.46;13.54;0;1.04;8.726710936;68.5;0.05356;0.6335
Mediterranean;Dianthus langeanus;Caryophyllaceae;120821-02;12/08/2021;Snowbed;3.79;150;146;97.5;146;100;51.505;47.475;1.02;26.045;91.45455014;87.125;0.02978;0.43
Temperate;Erigeron alpinus;Asteraceae;310821-15;31/08/2021;Fellfield;0.04;100;98;98;98;100;0;100;0;0;219.75;463.875;0.00448;0.291
Temperate;Erigeron alpinus;Asteraceae;310821-15;31/08/2021;Snowbed;0.04;100;99;99;99;100;0;41.41;58.59;3.03;261.6426471;325.125;0.00377;0.411
Temperate;Euphrasia salisburgensis;Orobanchaceae;011021-01;01/10/2021;Fellfield;0.04;100;100;100;1;1;0;1;0;0;NA;NA;0.004950495;NA
Temperate;Euphrasia salisburgensis;Orobanchaceae;011021-01;01/10/2021;Snowbed;0.04;100;100;100;1;1;0;1;0;1;NA;NA;0.004739336;NA
Temperate;Euphrasia salisburgensis;Orobanchaceae;300921-01;30/09/2021;Fellfield;0.04;100;96;96;2;2.08;0;0;2.08;0;NA;NA;0.002932551;NA
Temperate;Euphrasia salisburgensis;Orobanchaceae;300921-01;30/09/2021;Snowbed;0.04;100;99;99;0;0;0;0;0;0;NA;NA;NA;NA
Temperate;Festuca hystrix;Poaceae;130921-16;13/09/2021;Fellfield;0.43;20;17;85;17;100;94.12;5.88;0;0;19.52083333;169.5;0.0187;0.772
Temperate;Festuca hystrix;Poaceae;130921-16;13/09/2021;Snowbed;0.43;20;19;95;14;73.68;42.11;15.79;15.79;15.79;217;161;0.0695;0.341
