species;code;incubator;petridish;total;viable;viablePER;germPER;Mid_November;Wintergerm;Mid_June;Mid_September;t50lm;HS;coldstratgerm;Uncertainty
Spergula morisonii;150721-01;Snowbed;3;24;21;87.5;100;100;0;0;0;20.5;340;0;0
Spergula morisonii;150721-01;Snowbed;4;25;20;80;95;95;0;0;0;22.78;374;0;0.297
Spergula morisonii;280721-01;Fellfield;1;17;9;52.94;55.56;44.44;0;0;11.11;413;3386.5;20.01;0.722
Spergula morisonii;280721-01;Fellfield;2;17;9;52.94;77.78;66.67;0;0;11.11;36.9;612;14.28;1.149
Spergula morisonii;280721-01;Fellfield;3;17;8;47.06;50;37.5;0;0;12.5;416;3428.5;25;0.811
Spergula morisonii;280721-01;Fellfield;4;17;11;64.71;9.09;9.09;0;0;0;NA;NA;0;0
Spergula morisonii;280721-01;Snowbed;1;17;7;41.18;85.71;85.71;0;0;0;23.92;391;0;0
Spergula morisonii;280721-01;Snowbed;2;17;14;82.35;64.29;64.29;0;0;0;50.67;789.5;0;0.918
Spergula morisonii;280721-01;Snowbed;3;17;11;64.71;36.36;36.36;0;0;0;NA;NA;0;0.811
Spergula morisonii;280721-01;Snowbed;4;17;9;52.94;55.56;55.56;0;0;0;65.17;915;0;0.971
Thymus praecox;110821-05;Fellfield;1;25;19;76;94.74;89.47;0;5.26;0;15.06;219;5.56;1.503
Thymus praecox;110821-05;Fellfield;2;25;11;44;100;81.82;0;0;18.18;26.5;350.5;18.18;0.866
Thymus praecox;110821-05;Fellfield;3;25;18;72;100;77.78;0;22.22;0;23.5;316;22.22;1.769
Thymus praecox;110821-05;Fellfield;4;25;17;68;100;76.47;0;17.65;5.88;9.44;138;23.53;2.13
Thymus praecox;110821-05;Snowbed;1;25;23;92;100;34.78;8.7;8.69;47.83;270.5;480.5;65.22;2.964
Thymus praecox;110821-05;Snowbed;2;25;18;72;100;61.11;0;16.67;22.22;30.25;284.5;38.89;2.239
Thymus praecox;110821-05;Snowbed;3;25;22;88;100;36.36;4.55;9.09;50;281;535.5;63.64;2.902
Thymus praecox;110821-05;Snowbed;4;25;9;36;100;55.56;0;22.22;22.22;33.63;305.5;44.44;2.059
Thymus praecox;120821-06;Fellfield;1;25;25;100;100;100;0;0;0;9.62;138;0;0.999
Thymus praecox;120821-06;Fellfield;2;25;25;100;100;100;0;0;0;9.62;138;0;0.999
