species;code;incubator;total;viable;viablePER;germPER;Mid_nov;Winter_germ;spring_germ;summer_germ;Mid_june;Mid_sep
Helianthemum canum;310821-05;Snowbed;100;82;82;12.25;4.55;3.75;2.7;1.25;1.14;2.81
Helianthemum urrielense;130921-05;Fellfield;100;16;16;39.17;35;0;0;0;0;4.17
Helianthemum urrielense;130921-05;Snowbed;99;10;10.17;50;50;0;0;0;0;0
Helianthemum urrielense;140921-04;Fellfield;98;9;9.09;100;100;0;0;0;0;0
Helianthemum urrielense;140921-04;Snowbed;100;7;7;100;100;0;0;0;0;0
Helictochloa marginata;240821-06;Fellfield;30;4;13.33;100;25;0;75;0;75;0
Helictochloa marginata;240821-06;Snowbed;30;5;16.67;100;50;12.5;0;37.5;0;37.5
Helictotrichon sedenense;300821-09;Fellfield;93;14;15.05;100;8.33;0;91.67;0;91.67;0
Helictotrichon sedenense;300821-09;Snowbed;94;20;21.31;100;0;87.86;3.57;8.57;0;12.14
Iberis carnosa;130921-12;Fellfield;100;94;94;91.92;77.33;0;1;10.54;2;12.58
Iberis carnosa;130921-12;Snowbed;100;91;91;98.96;16.53;0;0;72.59;0;82.43
Jasione cavanillesii;130921-14;Fellfield;60;35;58.33;54.36;0;0;51.98;5.16;51.98;2.38
Jasione cavanillesii;130921-14;Snowbed;60;31;51.67;51;0;0;18.52;39.88;3.7;47.3
Jasione cavanillesii;140921-05;Fellfield;45;28;62.22;0;0;0;0;0;0;0
Jasione cavanillesii;140921-05;Snowbed;45;16;35.56;6.67;0;0;0;6.67;0;6.67
Jurinea humilis;110821-06;Fellfield;65;16;24.2;100;75.6;9.82;14.58;0;14.58;0
Jurinea humilis;110821-06;Snowbed;50;10;19.97;100;0;100;0;0;0;0
Jurinea humilis;120821-03;Fellfield;73;18;24.93;100;92.59;0;7.41;0;7.41;0
Jurinea humilis;120821-03;Snowbed;23;1;4.35;100;0;100;0;0;0;0
Jurinea humilis;310821-01;Fellfield;50;7;14;100;37.5;0;62.5;0;62.5;0
Jurinea humilis;310821-01;Snowbed;100;30;30;100;0;100;0;0;0;0
Kobresia myosuroides;130921-03;Fellfield;100;39;39;0;0;0;0;0;0;0
Kobresia myosuroides;130921-03;Snowbed;100;26;26;0;0;0;0;0;0;0
Koeleria vallesiana;300821-02;Fellfield;100;80;80;100;100;0;0;0;0;0
Koeleria vallesiana;300821-02;Snowbed;100;49;49;98.33;81.53;14.89;1.92;0;0;1.92
Koeleria vallesiana;310821-09;Fellfield;99;66;66.63;100;100;0;0;0;0;0
Koeleria vallesiana;310821-09;Snowbed;99;69;69.79;100;80.76;10.84;2.98;4.1;0;8.4
Luzula caespitosa;110821-03;Fellfield;100;31;31;85.83;70;5;4.17;0;4.17;6.67
Luzula caespitosa;110821-03;Snowbed;100;25;25;92.22;0;92.22;0;0;0;0
Luzula caespitosa;120821-04;Fellfield;100;32;32;95.83;36.46;45.83;8.33;0;8.34;5.21
Luzula caespitosa;120821-04;Snowbed;100;47;47;100;0;97.5;0;2.5;0;2.5
Minuartia recurva;110821-07;Fellfield;100;92;92;100;100;0;0;0;0;0
Minuartia recurva;110821-07;Snowbed;100;88;88;100;71.52;1.25;27.24;0;27.24;0
Minuartia recurva;120821-01;Fellfield;100;97;97;100;98.91;0;1.09;0;1.09;0
Minuartia recurva;120821-01;Snowbed;100;94;94;100;88.4;3.26;8.34;0;8.35;0
Minuartia verna;300821-06;Fellfield;100;94;94;42.28;41.28;0;0;0;0;1
Minuartia verna;300821-06;Snowbed;100;95;95;12.55;8.38;0;1.04;0;1.04;3.13
MinuartiaCF;310821-10;Fellfield;100;99;99;44.58;25.38;0;14.17;4.04;14.17;5.04
MinuartiaCF;310821-10;Snowbed;100;100;100;14;0;1;5;5;2;11
Neochischkinia truncatula;240821-07;Fellfield;100;96;96;96.91;96.91;0;0;0;0;0
Neochischkinia truncatula;240821-07;Snowbed;100;91;91;92.56;92.56;0;0;0;0;0
Neochischkinia truncatula;250821-03;Fellfield;100;85;85;92.11;91.07;0;0;1.04;0;1.04
Neochischkinia truncatula;250821-03;Snowbed;97;83;85.59;88.07;87.03;0;0;1.04;0;1.04
Pedicularis pyrenaica;130921-04;Fellfield;100;42;42;52.61;0;29.11;23.5;0;23.5;0
Pedicularis pyrenaica;130921-04;Snowbed;100;58;58;40.27;0;34.58;5.69;5.69;0;5.69
Pedicularis pyrenaica;310821-04;Fellfield;100;77;77;29.8;0;1.32;28.49;0;28.49;0
Pedicularis pyrenaica;310821-04;Snowbed;100;90;90;22.92;0;21.88;0;1.04;0;1.04
Phalacrocarpum oppositifolium;110821-02;Fellfield;100;69;69;98.69;93.96;0;4.72;0;4.72;0
Phalacrocarpum oppositifolium;110821-02;Snowbed;100;61;61;100;90.81;9.19;0;0;0;0
Phalacrocarpum oppositifolium;120821-05;Fellfield;24;7;29.17;87.5;75;12.5;0;0;0;0
Phalacrocarpum oppositifolium;120821-05;Snowbed;24;17;70.83;100;61.43;38.57;0;0;0;0
Phyteuma hemisphaericum;240821-10;Fellfield;99;77;77.75;23.28;1.39;0;20.58;0;20.58;1.32
Phyteuma hemisphaericum;240821-10;Snowbed;93;74;79.12;40.29;1.79;5.44;30.34;2.72;10.79;22.27
Phyteuma hemisphaericum;250821-07;Fellfield;100;83;83;40.32;0;0;38.15;2.18;38.15;2.18
Phyteuma hemisphaericum;250821-07;Snowbed;99;89;89.92;27.01;0;1.09;22.56;3.36;16.77;9.16
Phyteuma orbiculare;300921-02;Fellfield;51;35;68.63;19.87;0;0;19.87;0;19.87;0
Phyteuma orbiculare;300921-02;Snowbed;47;28;57.92;35;0;11.11;10.56;13.33;0;23.89
Plantago alpina;130921-08;Fellfield;60;54;90;100;12.99;12.79;74.22;0;74.22;0
Plantago alpina;130921-08;Snowbed;60;46;76.67;98.33;3.7;61.17;29.54;3.92;25.84;7.62
Plantago alpina;300821-15;Fellfield;100;90;90;100;38.26;7.29;53.2;1.25;53.2;1.25
Plantago alpina;300821-15;Snowbed;100;96;96;100;0;68.77;31.24;0;29.24;2
Plantago holosteum;240821-04;Fellfield;100;100;100;100;100;0;0;0;0;0
Plantago holosteum;240821-04;Snowbed;100;100;100;100;100;0;0;0;0;0
Plantago holosteum;250821-12;Fellfield;100;100;100;99;93;0;6;0;6;0
Plantago holosteum;250821-12;Snowbed;100;100;100;98;87;1;10;0;7;3
Ranunculus carianthiacus;310821-16;Fellfield;15;15;100;26.67;0;0;0;26.67;0;26.67
Ranunculus carianthiacus;310821-16;Snowbed;15;15;100;0;0;0;0;0;0;0
Salix fontqueri;140921-01;Fellfield;5;5;100;0;0;0;0;0;0;0
Salix fontqueri;140921-01;Snowbed;5;5;100;0;0;0;0;0;0;0
Saxifraga conifera;130921-09;Fellfield;98;61;62.38;96.88;84.9;0;0;11.98;1.56;10.42
Saxifraga conifera;130921-09;Snowbed;100;58;58;67.99;4.56;0;0;34.98;0;63.43
Saxifraga conifera;140921-08;Fellfield;59;31;52.72;88.13;48.99;0;0;32.2;0;39.14
Saxifraga conifera;140921-08;Snowbed;60;39;65;64.81;7.14;0;0;43.25;0;57.67
Saxifraga paniculata;310821-14;Fellfield;100;97;97;96.91;0;0;96.91;0;96.91;0
Saxifraga paniculata;310821-14;Snowbed;100;89;89;57.38;0;0;36.17;21.21;3;54.38
Scilla verna;310821-06;Fellfield;100;96;96;10.57;0;0;0;0;0;10.57
Scilla verna;310821-06;Snowbed;100;98;98;28.71;0;0;0;1.04;0;28.71
Sedum anglicum;240821-09;Fellfield;100;95;95;86.22;75.66;5.3;2.09;3.17;2.09;3.17
Sedum anglicum;240821-09;Snowbed;100;94;94;65.06;59.76;0;3.13;0;0;5.31
Sedum anglicum;250821-09;Fellfield;100;76;76;64.24;37.33;4.34;11.11;11.46;12.67;9.9
Sedum anglicum;250821-09;Snowbed;100;90;90;44.3;27.31;0;7.92;6.88;1.04;15.95
Sedum brevifolium;240821-11;Fellfield;100;89;89;76.01;71.56;0;2.18;2.27;3.31;1.14
Sedum brevifolium;240821-11;Snowbed;95;90;94.83;72.33;64.58;0;2.23;4.45;0;7.76
Sedum brevifolium;250821-08;Fellfield;99;93;93.92;25.29;11.22;0;14.07;0;14.07;0
Sedum brevifolium;250821-08;Snowbed;100;93;93;21.55;4.19;0;8.41;4.38;0;17.36
Sedum sp (album cf);300821-14;Fellfield;100;97;97;0;0;0;0;0;0;0
Sedum sp (album cf);300821-14;Snowbed;100;94;94;0;0;0;0;0;0;0
Sempervivum arachnoideo;230921-02;Fellfield;99;86;86.92;94.75;0;0;89.16;8.9;92.52;2.23
Sempervivum arachnoideo;230921-02;Snowbed;100;85;85;89.33;0;0;54.4;77.87;0;89.33
Sempervivum arachnoideo;230921-04;Fellfield;100;93;93;96.83;0;0;95.74;2.18;95.74;1.09
Sempervivum arachnoideo;230921-04;Snowbed;100;87;87;73.12;0;0;46.98;61.61;0;73.12
Sesleria caerula;310821-03;Fellfield;100;75;75;100;93.81;2.53;2.53;0;2.52;1.14
Sesleria caerula;310821-03;Snowbed;99;69;69.67;96.88;36.49;16.54;2.81;39.91;0;43.85
Silene acaulis;130921-07;Fellfield;100;85;85;61.1;10.84;0;3.43;44.46;6.95;43.31
Silene acaulis;130921-07;Snowbed;100;89;89;32.71;3.47;4.46;4.32;23.59;0;24.78
Silene acaulis;140921-03;Fellfield;99;65;65.54;34.83;1.92;0;4.3;28.01;4.3;28.6
Silene acaulis;140921-03;Snowbed;100;83;83;35.2;2.5;0;3.63;32.7;0;32.7
Silene ciliata;140921-09;Fellfield;100;90;90;88.07;20.35;0;66.68;1.04;67.72;0
Silene ciliata;140921-09;Snowbed;100;82;82;76.57;3.37;14.29;53.78;6.27;23.43;35.48
Silene ciliata;230921-01;Fellfield;100;93;93;90.33;2.23;0;86.01;2.08;86.01;2.08
Silene ciliata;230921-01;Snowbed;100;87;87;93.99;0;8.98;82.57;8.18;66.61;18.4
Silene ciliata;230921-03;Fellfield;100;98;98;89.74;0;0;87.57;2.09;87.57;2.18
Silene ciliata;230921-03;Snowbed;100;99;99;96;1.04;9.13;84.83;3;78.79;7.04
Silene ciliata;300821-11;Fellfield;100;98;98;96.96;0;1;95.96;0;95.96;0
Silene ciliata;300821-11;Snowbed;100;100;100;97;0;28;66;3;39;30
Solidago virgaurea;240821-08;Fellfield;98;75;76.65;100;97.37;1.32;1.32;0;1.32;0
Solidago virgaurea;240821-08;Snowbed;96;80;83.33;100;14.01;84.8;1.19;0;0;1.19
Solidago virgaurea;250821-13;Fellfield;100;92;92;100;71.94;25.89;2.18;0;2.17;0
Solidago virgaurea;250821-13;Snowbed;96;54;55.6;100;9.51;73.95;16.54;0;16.54;0
Spergula morisonii;150721-01;Fellfield;100;75;75;81.54;74.87;0;3.1;0;3.1;3.57
Spergula morisonii;150721-01;Snowbed;99;84;84.88;88.2;88.2;0;0;0;0;0
Spergula morisonii;280721-01;Fellfield;68;37;54.41;48.11;39.43;0;0;0;0;8.68
Spergula morisonii;280721-01;Snowbed;68;41;60.3;60.48;60.48;0;0;0;0;0
Thymus praecox;110821-05;Fellfield;100;65;65;98.69;81.39;0;9.9;7.41;11.28;6.02
Thymus praecox;110821-05;Snowbed;100;72;72;100;46.95;3.31;30.24;14.5;14.17;35.57
Thymus praecox;120821-06;Fellfield;100;90;90;98.86;98.86;0;0;0;0;0
Thymus praecox;120821-06;Snowbed;99;94;95;100;89.26;0;3.18;7.57;1;9.74
Thymus praecox;130921-10;Fellfield;100;68;68;98.75;19.38;0;52.67;28.26;68.73;10.64
Thymus praecox;130921-10;Snowbed;95;69;73.25;98.69;1.32;0;23.37;91.55;4.35;93.02
Thymus praecox;300821-07;Fellfield;100;89;89;98.86;85.31;1.09;10.15;2.33;11.28;1.19
Thymus praecox;300821-07;Snowbed;98;76;77.54;98.69;0;0;87.14;11.54;31.63;67.05
