species;code;incubator;total;viable;viablePER;germPER;Autumngerm;Wintergerm;Springgerm;Summergerm
Iberis carnosa;130921-12;Fellfield;100;94;94.00;91.92;77.33;0.00;2.00;12.58
Iberis carnosa;130921-12;Snowbed;125;112;91.00;86.46;14.74;0.00;0.00;71.72
Jasione cavanillesii;130921-14;Fellfield;60;35;58.33;54.36;0.00;0.00;51.98;2.38
Jasione cavanillesii;130921-14;Snowbed;60;31;51.67;51.00;0.00;0.00;3.70;47.30
Jasione cavanillesii;140921-05;Fellfield;45;28;62.22;0.00;0.00;0.00;0.00;0.00
Jasione cavanillesii;140921-05;Snowbed;45;16;35.56;6.67;0.00;0.00;0.00;6.67
Jurinea humilis;110821-06;Fellfield;65;16;24.20;100.00;75.60;9.82;14.58;0.00
Jurinea humilis;110821-06;Snowbed;50;10;19.97;100.00;0.00;100.00;0.00;0.00
Jurinea humilis;120821-03;Fellfield;73;18;24.93;100.00;92.59;0.00;7.41;0.00
Jurinea humilis;120821-03;Snowbed;23;1;4.35;100.00;0.00;100.00;0.00;0.00
Jurinea humilis;310821-01;Fellfield;50;7;14.00;100.00;37.50;0.00;62.50;0.00
Jurinea humilis;310821-01;Snowbed;100;30;30.00;100.00;0.00;100.00;0.00;0.00
Kobresia myosuroides;130921-03;Fellfield;100;39;39.00;0.00;0.00;0.00;0.00;0.00
Kobresia myosuroides;130921-03;Snowbed;100;26;26.00;0.00;0.00;0.00;0.00;0.00
Koeleria vallesiana;300821-02;Fellfield;100;80;80.00;100.00;100.00;0.00;0.00;0.00
Koeleria vallesiana;300821-02;Snowbed;100;49;49.00;98.33;81.53;14.89;0.00;1.92
Koeleria vallesiana;310821-09;Fellfield;99;66;66.63;100.00;100.00;0.00;0.00;0.00
Koeleria vallesiana;310821-09;Snowbed;99;69;69.79;100.00;80.76;10.84;0.00;8.40
Luzula caespitosa;110821-03;Fellfield;100;31;31.00;85.83;70.00;5.00;4.17;6.67
Luzula caespitosa;110821-03;Snowbed;100;25;25.00;92.22;0.00;92.22;0.00;0.00
Luzula caespitosa;120821-04;Fellfield;100;32;32.00;95.83;36.46;45.83;8.34;5.21
Luzula caespitosa;120821-04;Snowbed;100;47;47.00;100.00;0.00;97.50;0.00;2.50
Minuartia recurva;110821-07;Fellfield;100;92;92.00;100.00;100.00;0.00;0.00;0.00
Minuartia recurva;110821-07;Snowbed;100;88;88.00;100.00;71.52;1.25;27.24;0.00
Minuartia recurva;120821-01;Fellfield;100;97;97.00;100.00;98.91;0.00;1.09;0.00
Minuartia recurva;120821-01;Snowbed;100;94;94.00;100.00;88.40;3.26;8.35;0.00
Minuartia verna;300821-06;Fellfield;100;94;94.00;42.28;41.28;0.00;0.00;1.00
Minuartia verna;300821-06;Snowbed;100;95;95.00;12.55;8.38;0.00;1.04;3.13
MinuartiaCF;310821-10;Fellfield;100;99;99.00;44.58;25.38;0.00;14.17;5.04
MinuartiaCF;310821-10;Snowbed;100;100;100.00;14.00;0.00;1.00;2.00;11.00
Neochischkinia truncatula;240821-07;Fellfield;100;96;96.00;96.91;96.91;0.00;0.00;0.00
Neochischkinia truncatula;240821-07;Snowbed;100;91;91.00;92.56;92.56;0.00;0.00;0.00
Neochischkinia truncatula;250821-03;Fellfield;100;85;85.00;92.11;91.07;0.00;0.00;1.04
Neochischkinia truncatula;250821-03;Snowbed;97;83;85.59;88.07;87.03;0.00;0.00;1.04
Pedicularis pyrenaica;130921-04;Fellfield;100;42;42.00;52.61;0.00;29.11;23.50;0.00
Pedicularis pyrenaica;130921-04;Snowbed;100;58;58.00;40.27;0.00;34.58;0.00;5.69
Pedicularis pyrenaica;310821-04;Fellfield;100;77;77.00;29.80;0.00;1.32;28.49;0.00
Pedicularis pyrenaica;310821-04;Snowbed;100;90;90.00;22.92;0.00;21.88;0.00;1.04
Phalacrocarpum oppositifolium;110821-02;Fellfield;100;69;69.00;98.69;93.96;0.00;4.72;0.00
Phalacrocarpum oppositifolium;110821-02;Snowbed;100;61;61.00;100.00;90.81;9.19;0.00;0.00
Phalacrocarpum oppositifolium;120821-05;Fellfield;24;7;29.17;87.50;75.00;12.50;0.00;0.00
Phalacrocarpum oppositifolium;120821-05;Snowbed;24;17;70.83;100.00;61.43;38.57;0.00;0.00
Phyteuma hemisphaericum;240821-10;Fellfield;99;77;77.75;23.28;1.39;0.00;20.58;1.32
Phyteuma hemisphaericum;240821-10;Snowbed;93;74;79.12;40.29;1.79;5.44;10.79;22.27
Phyteuma hemisphaericum;250821-07;Fellfield;100;83;83.00;40.32;0.00;0.00;38.15;2.18
Phyteuma hemisphaericum;250821-07;Snowbed;99;89;89.92;27.01;0.00;1.09;16.77;9.16
Phyteuma orbiculare;300921-02;Fellfield;51;35;68.63;19.87;100.00;0.00;19.87;0.00
Phyteuma orbiculare;300921-02;Snowbed;47;28;57.92;35.00;100.00;11.11;0.00;23.89
Plantago alpina;130921-08;Fellfield;60;54;90.00;100.00;12.99;12.79;74.22;0.00
Plantago alpina;130921-08;Snowbed;60;46;76.67;98.33;3.70;61.17;25.84;7.62
Plantago alpina;300821-15;Fellfield;100;90;90.00;100.00;38.26;7.29;53.20;1.25
Plantago alpina;300821-15;Snowbed;100;96;96.00;100.00;0.00;68.77;29.24;2.00
Plantago holosteum;240821-04;Fellfield;100;100;100.00;100.00;100.00;0.00;0.00;0.00
Plantago holosteum;240821-04;Snowbed;100;100;100.00;100.00;100.00;0.00;0.00;0.00
Plantago holosteum;250821-12;Fellfield;100;100;100.00;99.00;93.00;0.00;6.00;0.00
Plantago holosteum;250821-12;Snowbed;100;100;100.00;98.00;87.00;1.00;7.00;3.00
Ranunculus carianthiacus;310821-16;Fellfield;15;15;100.00;26.67;0.00;0.00;0.00;26.67
Ranunculus carianthiacus;310821-16;Snowbed;15;15;100.00;0.00;0.00;0.00;0.00;0.00
Salix fontqueri;140921-01;Fellfield;5;5;100.00;0.00;0.00;0.00;0.00;0.00
Salix fontqueri;140921-01;Snowbed;5;5;100.00;0.00;0.00;0.00;0.00;0.00
Saxifraga conifera;130921-09;Fellfield;98;61;62.38;96.88;84.90;0.00;1.56;10.42
Saxifraga conifera;130921-09;Snowbed;100;58;58.00;67.99;4.56;0.00;0.00;63.43
Saxifraga conifera;140921-08;Fellfield;59;31;52.72;88.13;48.99;0.00;0.00;39.14
Saxifraga conifera;140921-08;Snowbed;60;39;65.00;64.81;7.14;0.00;0.00;57.67
Saxifraga paniculata;310821-14;Fellfield;100;97;97.00;96.91;0.00;0.00;96.91;0.00
Saxifraga paniculata;310821-14;Snowbed;100;89;89.00;57.38;0.00;0.00;3.00;54.38
Scilla verna;310821-06;Fellfield;100;96;96.00;10.57;0.00;0.00;0.00;10.57
Scilla verna;310821-06;Snowbed;100;98;98.00;28.71;0.00;0.00;0.00;28.71
Sedum anglicum;240821-09;Fellfield;100;95;95.00;86.22;75.66;5.30;2.09;3.17
Sedum anglicum;240821-09;Snowbed;100;94;94.00;65.06;59.76;0.00;0.00;5.31
Sedum anglicum;250821-09;Fellfield;100;76;76.00;64.24;37.33;4.34;12.67;9.90
Sedum anglicum;250821-09;Snowbed;100;90;90.00;44.30;27.31;0.00;1.04;15.95
Sedum brevifolium;240821-11;Fellfield;100;89;89.00;76.01;71.56;0.00;3.31;1.14
Sedum brevifolium;240821-11;Snowbed;95;90;94.83;72.33;64.58;0.00;0.00;7.76
Sedum brevifolium;250821-08;Fellfield;99;93;93.92;25.29;11.22;0.00;14.07;0.00
Sedum brevifolium;250821-08;Snowbed;100;93;93.00;21.55;4.19;0.00;0.00;17.36
Sedum sp (album cf);300821-14;Fellfield;100;97;97.00;0.00;0.00;0.00;0.00;0.00
Sedum sp (album cf);300821-14;Snowbed;100;94;94.00;0.00;0.00;0.00;0.00;0.00
Sempervivum arachnoideo;230921-02;Fellfield;99;86;86.92;94.75;100.00;0.00;92.52;2.23
Sempervivum arachnoideo;230921-02;Snowbed;100;85;85.00;89.33;100.00;0.00;0.00;89.33
Sempervivum arachnoideo;230921-04;Fellfield;100;93;93.00;96.83;100.00;0.00;95.74;1.09
Sempervivum arachnoideo;230921-04;Snowbed;100;87;87.00;73.12;100.00;0.00;0.00;73.12
Sesleria caerula;310821-03;Fellfield;100;75;75.00;100.00;93.81;2.53;2.52;1.14
Sesleria caerula;310821-03;Snowbed;124;91;69.67;84.38;31.94;15.41;0.00;37.03
Silene acaulis;130921-07;Fellfield;100;85;85.00;61.10;10.84;0.00;6.95;43.31
Silene acaulis;130921-07;Snowbed;100;89;89.00;32.71;3.47;4.46;0.00;24.78
Silene acaulis;140921-03;Fellfield;99;65;65.54;34.83;1.92;0.00;4.30;28.60
Silene acaulis;140921-03;Snowbed;100;83;83.00;35.20;2.50;0.00;0.00;32.70
Silene ciliata;140921-09;Fellfield;100;90;90.00;88.07;20.35;0.00;67.72;0.00
Silene ciliata;140921-09;Snowbed;100;82;82.00;76.57;3.37;14.29;23.43;35.48
Silene ciliata;230921-01;Fellfield;100;93;93.00;90.33;100.00;0.00;86.01;2.08
Silene ciliata;230921-01;Snowbed;100;87;87.00;93.99;100.00;8.98;66.61;18.40
Silene ciliata;230921-03;Fellfield;100;98;98.00;89.74;100.00;0.00;87.57;2.18
Silene ciliata;230921-03;Snowbed;100;99;99.00;96.00;100.00;9.13;78.79;7.04
Silene ciliata;300821-11;Fellfield;100;98;98.00;96.96;0.00;1.00;95.96;0.00
Silene ciliata;300821-11;Snowbed;100;100;100.00;97.00;0.00;28.00;39.00;30.00
Solidago virgaurea;240821-08;Fellfield;98;75;76.65;100.00;97.37;1.32;1.32;0.00
Solidago virgaurea;240821-08;Snowbed;96;80;83.33;100.00;14.01;84.80;0.00;1.19
Solidago virgaurea;250821-13;Fellfield;100;92;92.00;100.00;71.94;25.89;2.17;0.00
Solidago virgaurea;250821-13;Snowbed;96;54;55.60;100.00;9.51;73.95;16.54;0.00
Spergula morisonii;150721-01;Fellfield;100;75;75.00;81.54;74.87;0.00;3.10;3.57
Spergula morisonii;150721-01;Snowbed;99;84;84.88;88.20;88.20;0.00;0.00;0.00
Spergula morisonii;280721-01;Fellfield;68;37;54.41;48.11;39.43;0.00;0.00;8.68
Spergula morisonii;280721-01;Snowbed;68;41;60.30;60.48;60.48;0.00;0.00;0.00
Thymus praecox;110821-05;Fellfield;100;65;65.00;98.69;81.39;0.00;11.28;6.02
Thymus praecox;110821-05;Snowbed;175;135;72.00;62.50;30.42;1.66;9.86;20.56
Thymus praecox;120821-06;Fellfield;100;90;90.00;98.86;98.86;0.00;0.00;0.00
Thymus praecox;120821-06;Snowbed;99;94;95.00;100.00;89.26;0.00;1.00;9.74
Thymus praecox;130921-10;Fellfield;100;68;68.00;98.75;19.38;0.00;68.73;10.64
Thymus praecox;130921-10;Snowbed;95;69;73.25;98.69;1.32;0.00;4.35;93.02
Thymus praecox;300821-07;Fellfield;100;89;89.00;98.86;85.31;1.09;11.28;1.19
Thymus praecox;300821-07;Snowbed;98;76;77.54;98.69;0.00;0.00;31.63;67.05
