species;code;incubator;viable;viablePER;seeds_germ;germPER;snowgerm;snowPER;t50lm;t50check;Env_Heat_sum1;Env_Heat_sum2;BWseedsgerm;BWgermPER;firstgerm_days;datesow;date50;onset_date
Sempervivum arachnoideo;230921-02;Snowbed;85;85.00;76;89.33;0.00;0.00;259.50;261.75;347.00;347.00;76;89.33;254.00;13/10/2021;27/06/2022;23/06/2022
Sempervivum arachnoideo;230921-04;Fellfield;93;93.00;90;96.83;NA;NA;211.50;216.00;353.75;353.75;90;96.83;202.00;13/10/2021;10/05/2022;02/05/2022
Sempervivum arachnoideo;230921-04;Snowbed;87;87.00;63;73.12;0.00;0.00;302.75;304.25;643.13;1142.75;63;73.12;254.00;13/10/2021;26/06/2022;23/06/2022
Sesleria caerula;310821-03;Fellfield;75;75.00;75;100.00;NA;NA;25.00;34.00;275.50;275.50;70;93.81;15.00;22/09/2021;14/10/2021;06/10/2021
Sesleria caerula;310821-03;Snowbed;91;69.67;67;84.38;NA;NA;195.50;212.51;310.50;310.50;25;31.94;34.00;22/09/2021;06/11/2021;25/10/2021
Silene acaulis;130921-07;Fellfield;85;85.00;52;61.10;NA;NA;335.50;336.75;1816.63;2075.88;9;10.84;14.00;30/09/2021;11/07/2022;13/10/2021
Silene acaulis;130921-07;Snowbed;89;89.00;29;32.71;3.00;9.03;430.00;430.00;1592.50;3500.00;3;3.47;14.00;30/09/2021;19/09/2022;13/10/2021
Silene acaulis;140921-03;Fellfield;65;65.54;23;34.83;NA;NA;430.00;430.00;2406.00;3500.00;1;1.92;28.04;05/10/2021;19/09/2022;01/11/2021
Silene acaulis;140921-03;Snowbed;83;83.00;29;35.20;0.00;0.00;394.50;394.50;1337.75;2796.13;2;2.50;28.04;05/10/2021;19/07/2022;01/11/2021
Silene ciliata;140921-09;Fellfield;90;90.00;79;88.07;NA;NA;202.75;205.25;320.13;320.13;18;20.35;11.00;08/10/2021;23/04/2022;18/10/2021
Silene ciliata;140921-09;Snowbed;82;82.00;61;76.57;9.00;14.48;253.00;255.00;266.50;266.50;3;3.37;11.00;08/10/2021;14/06/2022;18/10/2021
Silene ciliata;230921-01;Fellfield;93;93.00;84;90.33;NA;NA;196.50;200.25;263.63;263.63;84;90.33;12.00;13/10/2021;20/04/2022;24/10/2021
Silene ciliata;230921-01;Snowbed;87;87.00;82;93.99;3.00;3.32;242.50;246.00;195.88;195.88;82;93.99;211.00;13/10/2021;10/06/2022;11/05/2022
Silene ciliata;230921-03;Fellfield;98;98.00;88;89.74;NA;NA;201.25;205.50;285.75;285.75;88;89.74;188.00;13/10/2021;26/04/2022;18/04/2022
Silene ciliata;230921-03;Snowbed;99;99.00;95;96.00;1.00;1.04;239.00;242.50;179.88;179.88;95;96.00;12.00;13/10/2021;31/05/2022;24/10/2021
Silene ciliata;300821-11;Fellfield;98;98.00;95;96.96;NA;NA;219.00;220.25;507.50;507.50;0;0.00;201.00;22/09/2021;23/04/2022;10/04/2022
Silene ciliata;300821-11;Snowbed;100;100.00;97;97.00;21.00;21.71;258.50;264.50;333.25;333.25;0;0.00;232.00;22/09/2021;25/05/2022;11/05/2022
Solidago virgaurea;240821-08;Fellfield;75;76.65;75;100.00;NA;NA;11.50;18.00;148.25;148.25;73;97.37;13.00;16/09/2021;24/09/2021;28/09/2021
Solidago virgaurea;240821-08;Snowbed;80;83.33;80;100.00;60.00;74.90;236.50;237.00;336.00;336.00;11;14.01;13.00;16/09/2021;09/05/2022;28/09/2021
Solidago virgaurea;250821-13;Fellfield;92;92.00;92;100.00;NA;NA;18.00;26.50;210.13;210.13;66;71.94;17.00;20/09/2021;30/09/2021;06/10/2021
Solidago virgaurea;250821-13;Snowbed;54;55.60;54;100.00;28.00;51.39;234.25;234.75;294.00;294.00;6;9.51;36.00;20/09/2021;10/05/2022;25/10/2021
Spergula morisonii;150721-01;Fellfield;75;75.00;61;81.54;NA;NA;47.00;55.50;750.88;750.88;57;74.87;41.00;30/07/2021;24/08/2021;08/09/2021
Spergula morisonii;150721-01;Snowbed;84;84.88;74;88.20;NA;NA;25.75;41.00;437.75;437.75;74;88.20;41.00;30/07/2021;18/08/2021;08/09/2021
Spergula morisonii;280721-01;Fellfield;37;54.41;17;48.11;NA;NA;324.00;325.75;2721.25;2736.00;14;39.43;41.00;30/07/2021;04/09/2021;08/09/2021
Spergula morisonii;280721-01;Snowbed;41;60.30;24;60.48;0.00;0.00;142.50;152.75;1152.00;1405.75;24;60.48;41.00;30/07/2021;22/08/2021;08/09/2021
Thymus praecox;110821-05;Fellfield;65;65.00;64;98.69;NA;NA;18.50;30.25;258.75;258.75;53;81.39;10.00;07/09/2021;15/09/2021;16/09/2021
Thymus praecox;110821-05;Snowbed;135;72.00;72;62.50;NA;NA;153.75;276.25;403.25;403.25;32;30.42;10.00;07/09/2021;06/10/2021;16/09/2021
Thymus praecox;120821-06;Fellfield;90;90.00;89;98.86;NA;NA;9.25;10.00;141.50;141.50;89;98.86;10.00;07/09/2021;13/09/2021;16/09/2021
Thymus praecox;120821-06;Snowbed;94;95.00;94;100.00;0.00;0.00;13.00;23.50;145.00;145.00;84;89.26;10.00;07/09/2021;13/09/2021;16/09/2021
Thymus praecox;130921-10;Fellfield;68;68.00;67;98.75;NA;NA;232.75;236.00;570.75;570.75;13;19.38;14.00;30/09/2021;17/05/2022;13/10/2021
Thymus praecox;130921-10;Snowbed;69;73.25;68;98.69;0.00;0.00;278.25;281.75;509.25;509.25;1;1.32;14.00;30/09/2021;02/07/2022;13/10/2021
Thymus praecox;300821-07;Fellfield;89;89.00;88;98.86;NA;NA;10.75;16.00;129.63;129.63;76;85.31;16.00;21/09/2021;30/09/2021;06/10/2021
Thymus praecox;300821-07;Snowbed;76;77.54;75;98.69;0.00;0.00;271.25;276.50;406.13;406.13;0;0.00;267.00;21/09/2021;17/06/2022;14/06/2022
