species;code;incubator;viable;viablePER;seeds_germ;germPER;snowgerm;snowPER;t50lm;t50check;Env_Heat_sum1;Env_Heat_sum2;BWseedsgerm;BWgermPER;firstgerm_days;datesow;date50;onset_date
Dethawia splendens;310821-07;Snowbed;49;64.50;49;100.00;37.00;72.70;230.75;230.75;260.25;260.25;0;0.00;229.00;24/09/2021;10/05/2022;10/05/2022
Dianthus langeanus;110821-01;Fellfield;99;99.00;99;100.00;NA;NA;3.75;6.00;63.00;63.00;98;99.00;6.00;03/09/2021;05/09/2021;08/09/2021
Dianthus langeanus;110821-01;Snowbed;95;95.00;95;100.00;NA;NA;3.25;6.00;54.25;54.25;95;100.00;6.00;03/09/2021;05/09/2021;08/09/2021
Dianthus langeanus;120821-02;Fellfield;99;99.00;99;100.00;NA;NA;3.75;6.00;63.00;63.00;99;100.00;6.00;03/09/2021;05/09/2021;08/09/2021
Dianthus langeanus;120821-02;Snowbed;97;97.00;97;100.00;NA;NA;7.75;13.25;107.25;107.25;92;94.88;6.00;03/09/2021;06/09/2021;08/09/2021
Erigeron alpinus;310821-15;Fellfield;98;98.00;98;100.00;NA;NA;219.75;221.25;470.25;470.25;0;0.00;202.00;28/09/2021;29/04/2022;17/04/2022
Erigeron alpinus;310821-15;Snowbed;99;99.00;99;100.00;0.00;0.00;261.50;266.00;326.75;326.75;0;0.00;232.00;28/09/2021;12/06/2022;17/05/2022
Euphrasia salisburgensis;011021-01;Fellfield;100;100.00;1;1.00;NA;NA;430.00;430.00;2321.00;3500.00;1;1.00;202.00;13/10/2021;19/09/2022;02/05/2022
Euphrasia salisburgensis;011021-01;Snowbed;100;100.00;1;1.00;1.00;25.00;430.00;430.00;1501.50;3500.00;1;1.00;211.00;13/10/2021;19/09/2022;11/05/2022
Euphrasia salisburgensis;300921-01;Fellfield;96;96.00;2;2.04;NA;NA;430.00;430.00;2321.00;3500.00;2;2.04;341.00;13/10/2021;19/09/2022;18/09/2022
Euphrasia salisburgensis;300921-01;Snowbed;99;99.00;0;0.00;0.00;0.00;430.00;430.00;1501.50;3500.00;0;0.00;430.00;13/10/2021;19/09/2022;16/12/2022
Festuca hystrix;130921-16;Fellfield;17;85.00;17;100.00;NA;NA;20.00;27.04;180.50;180.50;16;94.12;12.00;06/10/2021;25/10/2021;17/10/2021
Festuca hystrix;130921-16;Snowbed;19;95.00;14;73.68;3.00;21.43;217.00;218.00;168.00;168.00;8;42.11;27.04;06/10/2021;10/05/2022;01/11/2021
Festuca hystrix;300821-01;Fellfield;8;57.14;8;100.00;NA;NA;11.00;16.00;132.50;132.50;8;100.00;16.00;21/09/2021;01/10/2021;06/10/2021
Festuca hystrix;300821-01;Snowbed;4;28.57;4;100.00;NA;NA;29.00;35.00;203.50;203.50;4;100.00;35.00;21/09/2021;19/10/2021;25/10/2021
Festuca rubra;310821-02;Fellfield;1;4.00;1;100.00;NA;NA;240.00;243.00;660.50;660.50;0;0.00;243.00;22/09/2021;19/05/2022;22/05/2022
Festuca summilusitana;240821-02;Fellfield;59;59.00;59;100.00;NA;NA;14.50;24.00;185.88;185.88;59;100.00;14.00;15/09/2021;25/09/2021;28/09/2021
Festuca summilusitana;240821-02;Snowbed;59;59.67;59;100.00;NA;NA;22.25;34.00;186.88;186.88;58;98.44;14.00;15/09/2021;30/09/2021;28/09/2021
Festuca summilusitana;250821-02;Fellfield;42;42.00;42;100.00;NA;NA;22.50;32.00;270.50;270.50;42;100.00;12.00;17/09/2021;07/10/2021;28/09/2021
Festuca summilusitana;250821-02;Snowbed;48;48.61;48;100.00;NA;NA;24.00;32.00;192.00;192.00;44;90.77;12.00;17/09/2021;09/10/2021;28/09/2021
Gentiana verna;130921-06;Fellfield;56;56.00;9;15.27;NA;NA;430.00;430.00;2474.50;3500.00;0;0.00;209.00;29/09/2021;19/09/2022;25/04/2022
Gentiana verna;130921-06;Snowbed;68;69.31;11;16.68;0.00;0.00;430.00;430.00;1600.00;3500.00;0;0.00;232.00;29/09/2021;19/09/2022;18/05/2022
Gentiana verna;140921-06;Fellfield;75;75.71;1;1.47;NA;NA;430.00;430.00;2373.00;3500.00;0;0.00;228.00;08/10/2021;19/09/2022;23/05/2022
Gentiana verna;140921-06;Snowbed;78;78.00;1;1.32;1.00;25.00;430.00;430.00;1534.50;3500.00;0;0.00;216.00;08/10/2021;19/09/2022;11/05/2022
Gentianella campestris;300921-03;Fellfield;97;97.00;0;0.00;NA;NA;430.00;430.00;2321.00;3500.00;0;0.00;430.00;13/10/2021;19/09/2022;16/12/2022
Gentianella campestris;300921-03;Snowbed;100;100.00;0;0.00;0.00;0.00;430.00;430.00;1501.50;3500.00;0;0.00;430.00;13/10/2021;19/09/2022;16/12/2022
Gypsophila repens;300821-10;Fellfield;58;59.57;54;94.45;NA;NA;234.25;236.00;608.13;608.13;12;21.11;34.00;22/09/2021;08/05/2022;25/10/2021
Gypsophila repens;300821-10;Snowbed;73;74.74;73;100.00;0.00;0.00;286.75;290.50;585.50;585.50;0;0.00;280.00;22/09/2021;26/06/2022;28/06/2022
Gypsophila repens;310821-08;Fellfield;92;92.00;91;98.91;NA;NA;226.50;230.50;541.13;541.13;13;14.28;33.00;24/09/2021;28/04/2022;26/10/2021
Gypsophila repens;310821-08;Snowbed;119;95.00;92;84.46;NA;NA;277.00;295.00;468.75;468.75;2;1.56;33.00;24/09/2021;25/06/2022;26/10/2021
Helianthemum canum;300821-05;Fellfield;87;87.00;35;40.94;NA;NA;354.50;354.50;1908.25;2372.00;23;27.03;16.00;21/09/2021;15/05/2022;06/10/2021
Helianthemum canum;300821-05;Snowbed;77;77.00;24;31.38;0.00;0.00;430.00;430.00;1666.00;3500.00;12;15.44;16.00;21/09/2021;19/09/2022;06/10/2021
Helianthemum canum;310821-05;Fellfield;78;78.00;14;17.92;NA;NA;430.00;430.00;2535.00;3500.00;9;11.59;14.00;24/09/2021;19/09/2022;07/10/2021
Helianthemum canum;310821-05;Snowbed;82;82.00;10;12.25;2.00;12.50;430.00;430.00;1640.50;3500.00;4;4.55;33.00;24/09/2021;19/09/2022;26/10/2021
Helianthemum urrielense;130921-05;Fellfield;16;16.00;6;39.17;NA;NA;326.25;326.25;1896.63;2665.75;5;35.00;15.00;29/09/2021;13/10/2021;13/10/2021
Helianthemum urrielense;130921-05;Snowbed;10;10.17;5;50.00;NA;NA;223.00;226.00;853.63;1803.63;5;50.00;15.00;29/09/2021;08/10/2021;13/10/2021
Helianthemum urrielense;140921-04;Fellfield;9;9.09;9;100.00;NA;NA;12.00;16.76;118.75;118.75;9;100.00;13.00;05/10/2021;11/10/2021;17/10/2021
Helianthemum urrielense;140921-04;Snowbed;7;7.00;7;100.00;NA;NA;14.00;20.52;83.50;83.50;7;100.00;13.00;05/10/2021;11/10/2021;17/10/2021
Helictochloa marginata;240821-06;Fellfield;4;13.33;4;100.00;NA;NA;142.50;144.50;587.50;587.50;1;25.00;33.00;16/09/2021;18/10/2021;18/10/2021
Helictochloa marginata;240821-06;Snowbed;5;16.67;5;100.00;NA;NA;165.50;173.02;435.25;435.25;1;50.00;53.04;16/09/2021;28/10/2021;07/11/2021
Helictotrichon sedenense;300821-09;Fellfield;14;15.05;14;100.00;NA;NA;229.75;231.75;576.50;576.50;1;8.33;35.00;21/09/2021;03/05/2022;25/10/2021
Helictotrichon sedenense;300821-09;Snowbed;20;21.31;20;100.00;17.00;87.86;232.00;232.00;285.50;285.50;0;0.00;232.00;21/09/2021;10/05/2022;10/05/2022
Iberis carnosa;130921-12;Fellfield;94;94.00;86;91.92;NA;NA;9.75;14.00;109.25;109.25;72;77.33;14.00;30/09/2021;08/10/2021;13/10/2021
Iberis carnosa;130921-12;Snowbed;112;91.00;90;86.46;NA;NA;311.50;319.75;1002.13;1002.13;15;14.74;14.00;30/09/2021;17/07/2022;13/10/2021
Jasione cavanillesii;130921-14;Fellfield;35;58.33;20;54.36;NA;NA;294.00;295.33;1119.50;1495.17;0;0.00;207.00;08/10/2021;19/05/2022;02/05/2022
Jasione cavanillesii;130921-14;Snowbed;31;51.67;15;51.00;0.00;0.00;325.00;327.00;832.33;1487.50;0;0.00;251.00;08/10/2021;05/07/2022;15/06/2022
Jasione cavanillesii;140921-05;Fellfield;28;62.22;0;0.00;NA;NA;430.00;430.00;2373.00;3500.00;0;0.00;430.00;08/10/2021;19/09/2022;11/12/2022
Jasione cavanillesii;140921-05;Snowbed;16;35.56;1;6.67;0.00;0.00;430.00;430.00;1534.50;3500.00;0;0.00;304.00;08/10/2021;19/09/2022;07/08/2022
Jurinea humilis;110821-06;Fellfield;16;24.20;16;100.00;NA;NA;9.50;11.00;147.00;147.00;12;75.60;11.00;06/09/2021;13/09/2021;16/09/2021
Jurinea humilis;110821-06;Snowbed;10;19.97;10;100.00;10.00;100.00;246.00;247.00;458.50;458.50;0;0.00;247.00;06/09/2021;09/05/2022;10/05/2022
Jurinea humilis;120821-03;Fellfield;18;24.93;18;100.00;NA;NA;10.33;20.00;157.00;157.00;16;92.59;11.00;06/09/2021;11/09/2021;16/09/2021
Jurinea humilis;120821-03;Snowbed;1;4.35;1;100.00;1.00;100.00;246.00;247.00;458.50;458.50;0;0.00;247.00;06/09/2021;09/05/2022;10/05/2022
Jurinea humilis;310821-01;Fellfield;7;14.00;7;100.00;NA;NA;120.00;124.50;388.75;388.75;3;37.50;34.00;22/09/2021;19/10/2021;25/10/2021
Jurinea humilis;310821-01;Snowbed;30;30.00;30;100.00;30.00;100.00;230.00;231.00;277.00;277.00;0;0.00;231.00;22/09/2021;09/05/2022;10/05/2022
Kobresia myosuroides;130921-03;Fellfield;39;39.00;0;0.00;NA;NA;430.00;430.00;2474.50;3500.00;0;0.00;430.00;29/09/2021;19/09/2022;02/12/2022
Kobresia myosuroides;130921-03;Snowbed;26;26.00;0;0.00;0.00;0.00;430.00;430.00;1600.00;3500.00;0;0.00;430.00;29/09/2021;19/09/2022;02/12/2022
Koeleria vallesiana;300821-02;Fellfield;80;80.00;80;100.00;NA;NA;8.25;16.00;100.88;100.88;80;100.00;16.00;21/09/2021;28/09/2021;06/10/2021
Koeleria vallesiana;300821-02;Snowbed;49;49.00;48;98.33;4.00;9.96;28.75;35.00;202.38;202.38;41;81.53;16.00;21/09/2021;17/10/2021;06/10/2021
Koeleria vallesiana;310821-09;Fellfield;66;66.63;66;100.00;NA;NA;16.00;23.00;173.38;173.38;66;100.00;16.00;28/09/2021;07/10/2021;13/10/2021
Koeleria vallesiana;310821-09;Snowbed;69;69.79;69;100.00;6.00;9.45;31.25;36.02;180.88;180.88;56;80.76;30.00;28/09/2021;22/10/2021;27/10/2021
Luzula caespitosa;110821-03;Fellfield;31;31.00;27;85.83;NA;NA;32.50;37.00;421.38;421.38;22;70.00;37.00;07/09/2021;05/10/2021;13/10/2021
Luzula caespitosa;110821-03;Snowbed;25;25.00;23;92.22;22.00;96.88;245.50;246.00;445.50;445.50;0;0.00;246.00;07/09/2021;09/05/2022;10/05/2022
Luzula caespitosa;120821-04;Fellfield;32;32.00;30;95.83;NA;NA;172.00;176.76;627.88;627.88;12;36.46;37.00;07/09/2021;28/10/2021;13/10/2021
Luzula caespitosa;120821-04;Snowbed;47;47.00;47;100.00;45.00;95.00;245.25;246.00;445.50;445.50;0;0.00;246.00;07/09/2021;09/05/2022;10/05/2022
Minuartia recurva;110821-07;Fellfield;92;92.00;92;100.00;NA;NA;8.50;27.75;138.00;138.00;92;100.00;6.00;03/09/2021;07/09/2021;08/09/2021
Minuartia recurva;110821-07;Snowbed;88;88.00;88;100.00;0.00;0.00;23.75;35.00;271.38;271.38;63;71.52;6.00;03/09/2021;19/09/2021;08/09/2021
Minuartia recurva;120821-01;Fellfield;97;97.00;97;100.00;NA;NA;3.75;6.00;63.00;63.00;96;98.91;6.00;03/09/2021;05/09/2021;08/09/2021
Minuartia recurva;120821-01;Snowbed;94;94.00;94;100.00;NA;NA;4.50;6.00;70.50;70.50;83;88.40;6.00;03/09/2021;06/09/2021;08/09/2021
Minuartia verna;300821-06;Fellfield;94;94.00;40;42.28;NA;NA;430.00;430.00;2572.50;3500.00;39;41.28;16.00;21/09/2021;19/09/2022;06/10/2021
Minuartia verna;300821-06;Snowbed;95;95.00;12;12.55;0.00;0.00;430.00;430.00;1666.00;3500.00;8;8.38;16.00;21/09/2021;19/09/2022;06/10/2021
MinuartiaCF;310821-10;Fellfield;99;99.00;44;44.58;NA;NA;379.25;379.25;2035.75;2759.50;25;25.38;14.00;24/09/2021;08/05/2022;07/10/2021
MinuartiaCF;310821-10;Snowbed;100;100.00;14;14.00;0.00;0.00;430.00;430.00;1640.50;3500.00;0;0.00;243.00;24/09/2021;19/09/2022;24/05/2022
Neochischkinia truncatula;240821-07;Fellfield;96;96.00;93;96.91;NA;NA;7.00;13.00;93.50;93.50;93;96.91;13.00;16/09/2021;22/09/2021;28/09/2021
Neochischkinia truncatula;240821-07;Snowbed;91;91.00;84;92.56;NA;NA;7.50;13.00;71.75;71.75;84;92.56;13.00;16/09/2021;22/09/2021;28/09/2021
Neochischkinia truncatula;250821-03;Fellfield;85;85.00;78;92.11;NA;NA;6.75;12.00;88.88;88.88;77;91.07;12.00;17/09/2021;22/09/2021;28/09/2021
Neochischkinia truncatula;250821-03;Snowbed;83;85.59;73;88.07;NA;NA;10.25;12.00;92.88;92.88;72;87.03;12.00;17/09/2021;26/09/2021;28/09/2021
Pedicularis pyrenaica;130921-04;Fellfield;42;42.00;22;52.61;NA;NA;260.25;262.50;909.25;1165.63;0;0.00;195.00;29/09/2021;09/04/2022;11/04/2022
Pedicularis pyrenaica;130921-04;Snowbed;58;58.00;24;40.27;20.00;84.34;339.75;339.75;967.75;1917.75;0;0.00;225.00;29/09/2021;11/05/2022;11/05/2022
Pedicularis pyrenaica;310821-04;Fellfield;77;77.00;23;29.80;NA;NA;430.00;430.00;2535.00;3500.00;0;0.00;199.00;24/09/2021;19/09/2022;10/04/2022
Pedicularis pyrenaica;310821-04;Snowbed;90;90.00;21;22.92;19.00;92.22;430.00;430.00;1640.50;3500.00;0;0.00;230.00;24/09/2021;19/09/2022;11/05/2022
Phalacrocarpum oppositifolium;110821-02;Fellfield;69;69.00;68;98.69;NA;NA;31.50;42.51;392.13;392.13;65;93.96;14.00;10/09/2021;07/10/2021;23/09/2021
